time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579640;1561656;14;3.2;19;16;1.00;6.0;4.0;1.00;8.0;2.0;2.0;6.0;1.00;5.0;1.00
1;0;0.0;0.0;1.8;579640;1561656;14;3.9;19;3.0;1.00;11;5.0;2.0;10;19;1.00;11;1.00;1.00;1.00
2;0;0.0;0.0;1.8;579640;1561656;14;3.9;19;4.9;2.9;13;2.9;0.90;33;17;1.9;11;0.90;0.0;0.90
3;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;13;3.0;16;10;6.0;11;12;2.0;16;8.0;4.0;1.00
4;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;4.0;2.0;2.0;11;18;13;1.00;2.0;9.0;4.0;1.00;2.0
5;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;0.90;1.9;0.90;5.9;8.9;9.9;1.9;7.9;11;2.9;14;1.9
6;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;1.00;2.0;5.0;8.0;2.0;13;2.0;9.0;11;10;6.0;2.0
7;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;1.00;4.0;1.00;15;5.0;11;3.0;2.0;9.0;14;6.0;1.00
8;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;0.90;1.9;1.9;8.9;13;12;1.9;1.9;9.9;13;1.9;0.90
9;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;1.00;1.00;4.0;20;4.0;11;1.00;0.0;9.0;3.0;11;2.0
10;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;19;5.9;1.9;3.9;1.9;11;1.9;0.90;8.9;2.9;8.9;6.9
11;0;0.0;0.0;1.8;579640;1561656;14;4.2;19;16;7.0;1.00;3.0;1.00;10;10;9.0;10;2.0;1.00;1.00
12;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;1.00;3.0;1.00;4.0;1.00;11;20;10;11;1.00;2.0;4.0
13;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;0.0;6.9;1.9;1.9;2.9;11;21;7.9;9.9;3.9;2.9;0.90
14;0;0.0;0.0;1.8;579640;1561656;14;4.2;19;2.0;4.0;6.0;3.0;3.0;10;20;2.0;5.0;11;1.00;5.0
15;0;0.0;0.0;1.8;579640;1561656;14;4.3;19;3.9;0.90;6.9;1.9;4.9;11;22;8.9;6.9;2.9;0.90;0.90
16;0;0.0;0.0;1.8;579640;1561656;14;4.3;19;21;1.9;5.9;1.9;14;11;0.90;0.0;5.9;1.9;4.9;7.9
17;0;0.0;0.0;1.8;579640;1561656;14;3.9;19;0.90;0.90;8.9;0.0;8.9;14;2.9;1.9;9.9;0.90;2.9;12
18;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;2.0;18;9.0;1.00;1.00;11;2.0;1.00;4.0;1.00;13;8.0
19;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;0.90;20;12;1.9;2.9;9.9;3.9;1.9;0.90;1.9;12;1.9
20;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;2.0;1.00;10;1.00;7.0;10;2.0;21;1.00;1.00;7.0;5.0
21;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;6.0;2.0;9.0;1.00;4.0;10;1.00;20;12;2.0;2.0;5.0
22;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;3.0;10;10;1.00;0.0;10;6.0;18;6.0;1.00;3.0;2.0
23;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;1.9;19;9.9;0.90;1.9;9.9;3.9;0.0;13;4.9;1.9;0.90
24;0;0.0;0.0;1.8;579640;1561656;14;3.8;19;2.9;20;8.9;2.9;0.90;11;9.9;1.9;5.9;0.90;0.90;1.9
25;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;6.9;0.90;11;0.90;2.9;9.9;11;20;1.9;0.90;0.90;1.9
26;0;0.0;0.0;1.8;579640;1561656;14;3.6;19;1.00;2.0;20;2.0;4.0;10;12;4.0;8.0;1.00;1.00;1.00
27;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;13;1.00;6.0;1.00;3.0;19;0.0;1.00;10;4.0;2.0;7.0
28;0;0.0;0.0;1.8;579640;1561656;14;3.9;19;7.0;2.0;2.0;1.00;1.00;11;1.00;7.0;13;1.00;3.0;21
29;0;0.0;0.0;1.8;579640;1561656;14;4.3;19;1.00;9.0;0.0;1.00;1.00;12;2.0;9.0;11;2.0;4.0;22
30;0;0.0;0.0;1.8;579640;1561656;14;3.9;19;2.0;1.00;4.0;10;3.0;12;12;2.0;9.0;2.0;3.0;7.0
31;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;2.9;0.90;1.9;2.9;1.9;11;21;14;12;0.90;1.9;1.9
32;0;0.0;0.0;1.8;579640;1561656;14;4.1;19;14;1.9;2.9;1.9;1.9;9.9;11;0.90;11;0.90;12;0.90
33;0;0.0;0.0;1.8;579640;1561656;14;4.0;19;20;5.0;1.00;3.0;3.0;11;1.00;1.00;9.0;1.00;5.0;9.0
34;1;3733.333252;19140.740234;1.8;586232;1629080;14;3.8;19;20;2.0;3.0;13;2.0;10;1.00;1.00;11;2.0;2.0;5.0
35;1;2440.000000;7984.000000;1.8;590720;1632856;14;3.9;19;20;3.9;2.9;12;1.9;9.9;0.90;0.90;9.9;0.90;0.90;0.90
36;1;0.0;0.0;1.8;590720;1632856;14;3.9;19;21;0.90;0.90;7.9;9.9;9.9;1.9;0.90;9.9;0.90;4.9;0.0
37;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;18;4.0;2.0;1.00;12;10;4.0;3.0;11;1.00;1.00;2.0
38;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;13;1.00;3.0;3.0;15;10;1.00;2.0;9.0;2.0;4.0;1.00
39;1;112;2576.000000;1.8;590720;1632856;14;3.8;19;6.9;1.9;3.9;3.9;4.9;9.9;6.9;3.9;9.9;0.0;16;1.9
40;1;56;1288.000000;1.8;590720;1632856;14;3.9;19;1.9;2.9;2.9;2.9;1.9;11;9.9;15;11;0.90;7.9;0.0
41;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;1.00;3.0;12;1.00;4.0;9.0;2.0;21;11;1.00;1.00;1.00
42;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;4.0;2.0;7.0;4.0;1.00;11;7.0;20;9.0;2.0;2.0;1.00
43;1;0.0;0.0;1.8;590720;1632856;14;4.1;19;12;2.0;2.0;1.00;4.0;10;4.0;20;12;1.00;1.00;1.00
44;1;112;2832.000000;1.8;590720;1632856;14;4.1;19;8.9;1.9;0.90;0.90;2.9;9.9;5.9;21;11;1.9;4.9;0.90
45;1;112;2832.000000;1.8;590720;1632856;14;4.2;19;1.00;1.00;1.00;4.0;7.0;14;1.00;20;13;1.00;3.0;8.0
46;1;112;2832.000000;1.8;590720;1632856;14;4.1;19;10;1.00;1.00;3.0;2.0;10;9.0;21;10;2.0;1.00;1.00
47;1;0.0;0.0;1.8;590720;1632856;14;4.2;19;6.9;0.90;1.9;7.9;1.9;11;0.90;21;14;1.9;1.9;1.9
48;1;0.0;0.0;1.8;590720;1632856;14;3.9;19;4.0;1.00;1.00;5.0;3.0;11;11;3.0;9.0;7.0;6.0;8.0
49;1;0.0;0.0;1.8;590720;1632856;14;3.9;19;1.9;0.90;2.9;0.90;3.9;20;11;7.9;12;0.0;1.9;3.9
50;1;0.0;0.0;1.8;590720;1632856;14;4.3;19;1.9;1.9;5.9;0.90;2.9;9.9;13;21;11;1.9;0.90;0.90
51;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;2.0;10;5.0;1.00;5.0;10;10;14;12;1.00;1.00;1.00
52;1;0.0;0.0;1.8;590720;1632856;14;4.1;19;6.9;13;1.9;1.9;3.9;9.9;4.9;4.9;9.9;9.9;1.9;1.9
53;1;0.0;0.0;1.8;590720;1632856;14;3.8;19;2.0;2.0;4.0;17;1.00;10;2.0;13;12;2.0;1.00;1.00
54;1;0.0;0.0;1.8;590720;1632856;14;4.0;19;20;2.9;0.90;0.90;8.9;8.9;1.9;4.9;9.9;3.9;4.9;1.9
55;1;0.0;0.0;1.8;590720;1632856;14;4.3;19;18;6.0;4.0;1.00;4.0;10;1.00;3.0;11;2.0;11;0.0
56;1;0.0;0.0;1.8;590720;1632856;14;4.1;19;2.0;21;2.0;6.0;11;10;2.0;4.0;10;2.0;1.00;1.00
57;1;0.0;0.0;1.8;590720;1632856;14;4.2;19;2.9;22;3.9;0.90;1.9;9.9;2.9;13;9.9;1.9;2.9;1.9
58;1;0.0;0.0;1.8;590720;1632856;14;4.3;19;14;21;1.00;4.0;1.00;10;4.0;2.0;11;1.00;1.00;1.00
59;7;0.0;0.0;1.8;595996;1633020;14;4.3;19;5.9;14;3.9;0.90;1.9;9.9;4.9;1.9;11;1.9;17;0.90
60;5;0.0;0.0;1.8;596260;1633020;14;4.0;19;3.0;13;2.0;4.0;2.0;10;3.0;2.0;11;1.00;19;4.0
61;1;0.0;0.0;1.8;596260;1633020;14;4.1;19;1.9;7.9;20;0.90;4.9;11;3.9;0.90;12;1.9;6.9;0.90
62;5;0.0;0.0;1.8;596260;1633020;14;4.1;19;3.9;1.9;11;3.9;1.9;11;3.9;1.9;9.9;1.9;3.9;19
63;5;0.0;0.0;1.8;596260;1633020;14;4.0;19;2.0;2.0;12;2.0;2.0;12;13;17;4.0;1.00;2.0;4.0
64;1;0.0;0.0;1.8;596260;1633020;14;4.3;19;2.0;2.0;11;4.0;11;11;1.00;5.0;2.0;4.0;19;2.0
65;5;0.0;0.0;1.8;596260;1633020;14;4.4;19;3.9;15;12;4.9;1.9;9.9;14;3.9;0.90;0.90;7.9;1.9
66;4;0.0;0.0;1.8;596260;1633020;14;4.2;19;13;11;16;3.0;2.0;12;5.0;1.00;6.0;2.0;1.00;1.00
67;1;0.0;0.0;1.8;596260;1633020;14;3.7;19;12;0.90;20;2.9;1.9;9.9;0.90;1.9;11;2.9;1.9;1.9
68;1;0.0;0.0;1.8;596260;1633020;14;4.2;19;10;3.0;6.0;3.0;14;11;8.0;2.0;10;2.0;1.00;2.0
69;1;0.0;0.0;1.8;596260;1633020;14;4.2;19;0.90;0.90;0.90;4.9;1.9;9.9;14;0.90;11;1.9;21;2.9
70;1;0.0;0.0;1.8;596260;1633020;14;4.2;19;11;2.0;1.00;3.0;0.0;10;6.0;1.00;10;1.00;21;1.00
71;1;0.0;0.0;1.8;596260;1633020;14;4.0;19;13;4.0;1.00;5.0;6.0;11;2.0;2.0;10;2.0;15;2.0
72;1;0.0;0.0;1.8;596260;1633020;14;4.3;19;12;2.9;2.9;1.9;21;9.9;3.9;0.90;11;1.9;0.90;3.9
73;1;0.0;0.0;1.8;596260;1633020;14;3.8;19;4.9;1.9;6.9;8.9;6.9;9.9;1.9;2.9;17;3.9;0.0;0.90
74;1;0.0;0.0;1.8;596260;1633020;14;3.8;19;0.90;1.9;8.9;12;0.90;9.9;1.9;2.9;20;0.90;1.9;2.9
75;1;0.0;0.0;1.8;596260;1633020;14;3.8;19;2.0;0.0;14;12;3.0;10;3.0;2.0;14;6.0;0.0;0.0
76;1;0.0;0.0;1.8;596260;1633020;14;4.4;19;2.9;1.9;0.0;1.9;15;12;22;0.90;11;1.9;2.9;1.9
77;0;0.0;0.0;1.8;590704;1627356;14;3.7;19;4.9;0.90;8.9;2.9;7.9;9.9;1.9;2.9;20;2.9;7.9;0.90
78;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;1.00;9.0;9.0;2.0;2.0;13;1.00;4.0;10;2.0;12;3.0
79;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;3.0;1.00;10;2.0;3.0;10;1.00;20;3.0;1.00;12;1.00
80;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;2.9;1.9;8.9;0.90;9.9;12;1.9;20;2.9;2.9;3.9;3.9
81;0;0.0;0.0;1.8;590704;1627356;14;4.0;19;1.00;3.0;11;1.00;9.0;15;1.00;19;2.0;2.0;3.0;1.00
82;0;0.0;0.0;1.8;590704;1627356;14;4.1;19;2.0;12;10;1.00;2.0;29;1.00;6.0;1.00;1.00;1.00;6.0
83;0;0.0;0.0;1.8;590704;1627356;14;4.0;19;7.9;4.9;8.9;1.9;0.90;15;2.9;2.9;0.90;5.9;0.90;17
84;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;13;12;9.0;1.00;2.0;11;2.0;1.00;3.0;0.0;1.00;12
85;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;12;21;8.9;0.90;0.0;9.9;0.90;0.90;2.9;5.9;2.9;0.90
86;0;0.0;0.0;1.8;590704;1627356;14;3.9;19;9.9;20;9.9;1.9;0.90;11;4.9;1.9;0.90;2.9;1.9;3.9
87;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;2.0;6.0;9.0;2.0;2.0;10;13;16;2.0;2.0;0.0;2.0
88;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;3.0;1.00;9.0;1.00;2.0;15;3.0;19;11;2.0;2.0;1.00
89;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;2.0;3.0;10;1.00;1.00;9.0;1.00;21;12;5.0;2.0;2.0
90;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;2.0;6.0;9.0;1.00;0.0;11;1.00;20;13;1.00;1.00;3.0
91;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;0.90;3.9;9.9;1.9;1.9;12;1.9;20;12;3.9;0.90;0.90
92;0;0.0;0.0;1.8;590704;1627356;14;4.2;19;4.9;11;8.9;1.9;0.90;9.9;2.9;20;1.9;7.9;0.90;3.9
93;0;0.0;0.0;1.8;590704;1627356;14;3.8;19;20;1.9;8.9;8.9;1.9;9.9;1.9;0.0;2.9;4.9;1.9;1.9
94;0;0.0;0.0;1.8;590704;1627356;14;3.7;19;19;0.0;9.0;13;1.00;14;0.0;2.0;3.0;1.00;1.00;1.00
95;0;0.0;0.0;1.8;590704;1627356;14;4.2;19;21;1.9;11;4.9;1.9;11;1.9;4.9;0.0;13;0.90;1.9
96;0;0.0;0.0;1.8;590704;1627356;14;4.3;19;2.9;3.9;9.9;0.90;2.9;9.9;19;14;0.90;0.90;1.9;0.90
97;0;0.0;0.0;1.8;590704;1627356;14;3.7;19;1.00;3.0;9.0;1.00;3.0;10;2.0;12;19;4.0;1.00;1.00
