time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579748;1561676;11;3.3;19;1.9;3.9;1.9;4.9;1.9;7.9;3.9;5.9;1.9;6.9;0.90;16
1;0;0.0;0.0;1.8;579748;1561676;11;4.5;19;2.9;5.9;2.9;0.90;2.9;11;1.9;5.9;1.9;14;22;2.9
2;0;0.0;0.0;1.8;579748;1561676;11;4.3;19;5.0;3.0;4.0;2.0;14;10;4.0;7.0;6.0;11;4.0;4.0
3;0;0.0;0.0;1.8;579748;1561676;11;4.5;19;8.0;6.0;5.0;2.0;2.0;10;7.0;6.0;4.0;22;1.00;1.00
4;0;0.0;0.0;1.8;579748;1561676;11;3.8;19;2.9;7.9;13;1.9;1.9;9.9;4.9;21;1.9;1.9;0.90;1.9
5;0;0.0;0.0;1.8;579748;1561676;11;3.9;19;0.90;14;4.9;5.9;1.9;12;11;9.9;7.9;3.9;6.9;1.9
6;0;0.0;0.0;1.8;579748;1561676;11;4.1;19;2.0;1.00;2.0;3.0;1.00;10;13;6.0;21;3.0;4.0;2.0
7;0;0.0;0.0;1.8;579748;1561676;11;4.2;19;2.0;4.0;2.0;4.0;4.0;10;3.0;8.0;22;3.0;11;1.00
8;0;0.0;0.0;1.8;579748;1561676;11;4.3;19;3.9;2.9;11;1.9;2.9;9.9;2.9;4.9;22;4.9;2.9;3.9
9;0;0.0;0.0;1.8;579748;1561676;11;4.2;19;13;3.9;1.9;4.9;0.90;9.9;0.90;6.9;22;0.90;1.9;0.90
10;0;0.0;0.0;1.8;579748;1561676;11;4.2;19;4.0;14;3.0;4.0;3.0;10;3.0;6.0;21;3.0;2.0;2.0
11;0;0.0;0.0;1.8;579748;1561676;11;4.1;19;1.00;10;5.0;4.0;5.0;10;3.0;8.0;22;7.0;2.0;3.0
12;0;0.0;0.0;1.8;579748;1561676;11;4.1;19;1.00;3.0;8.0;5.0;2.0;10;8.0;7.0;22;2.0;2.0;2.0
13;0;0.0;0.0;1.8;579748;1561676;11;4.1;19;2.0;13;3.0;5.0;4.0;10;3.0;6.0;3.0;2.0;17;1.00
14;0;0.0;0.0;1.8;579748;1561676;11;3.9;19;0.90;4.9;3.9;4.9;3.9;9.9;1.9;4.9;11;1.9;18;4.9
