time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579628;1561652;9.9;3.0;19;1.9;1.9;0.90;15;0.90;7.9;2.9;0.0;8.9;1.9;1.9;6.9
1;0;0.0;0.0;1.8;579628;1561652;9.9;3.7;19;1.9;0.0;0.90;19;2.9;8.9;0.0;2.9;12;0.90;1.9;9.9
2;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;1.00;9.0;3.0;12;2.0;12;9.0;2.0;5.0;2.0;2.0;9.0
3;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;2.0;9.0;8.0;1.00;2.0;10;1.00;2.0;4.0;14;2.0;9.0
4;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;2.9;1.9;5.9;14;2.9;9.9;0.90;4.9;1.9;7.9;0.90;9.9
5;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;4.0;12;6.0;2.0;1.00;11;2.0;2.0;14;1.00;1.00;8.0
6;0;0.0;0.0;1.8;579628;1561652;9.9;3.6;19;3.9;12;20;0.0;0.90;14;1.9;0.90;2.9;0.90;0.90;5.9
7;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;3.0;12;7.0;2.0;1.00;13;1.00;6.0;9.0;2.0;3.0;5.0
8;0;0.0;0.0;1.8;579628;1561652;9.9;3.9;19;0.90;14;2.9;0.90;0.90;12;0.0;22;1.9;0.90;0.90;4.9
9;0;0.0;0.0;1.8;579628;1561652;9.9;3.8;19;1.00;14;3.0;2.0;3.0;13;2.0;20;1.00;1.00;1.00;5.0
10;0;0.0;0.0;1.8;579628;1561652;9.9;3.7;19;0.90;12;1.9;0.90;7.9;14;13;0.90;1.9;0.90;2.9;4.9
11;0;0.0;0.0;1.8;579628;1561652;9.9;3.7;19;2.9;11;12;4.9;1.9;13;7.9;0.90;1.9;0.90;1.9;4.9
12;0;0.0;0.0;1.8;579628;1561652;9.9;3.7;19;2.0;2.0;12;1.00;19;13;1.00;0.0;2.0;3.0;1.00;5.0
