time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579748;1561676;9.1;3.0;19;1.00;3.0;2.0;5.0;1.00;7.0;0.0;15;8.0;4.0;1.00;7.0
1;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;0.0;1.00;2.0;4.0;2.0;15;2.0;20;9.0;10;1.00;2.0
2;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;1.9;4.9;14;1.9;1.9;9.9;0.90;20;9.9;0.90;1.9;0.90
3;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;0.90;2.9;5.9;0.90;0.90;9.9;6.9;21;9.9;0.90;2.9;3.9
4;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;1.00;10;1.00;3.0;2.0;15;14;15;9.0;1.00;3.0;1.00
5;0;0.0;0.0;1.8;579748;1561676;9.1;4.3;19;0.90;1.9;2.9;0.90;1.9;11;14;21;9.9;1.9;2.9;3.9
6;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;1.00;4.0;9.0;1.00;3.0;10;5.0;20;10;0.0;2.0;1.00
7;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;6.9;0.90;1.9;0.90;1.9;15;6.9;21;8.9;0.90;1.9;1.9
8;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;6.0;3.0;10;1.00;2.0;10;2.0;20;10;1.00;2.0;4.0
9;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;0.90;0.90;13;1.9;0.90;14;3.9;20;8.9;0.90;0.90;4.9
10;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;2.0;1.00;13;4.0;1.00;12;4.0;20;10;1.00;1.00;3.0
11;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;2.9;0.90;13;2.9;1.9;9.9;0.90;19;8.9;1.9;0.90;3.9
12;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;1.9;0.90;13;1.9;2.9;9.9;2.9;21;9.9;0.90;0.0;0.90
13;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;1.00;5.0;9.0;1.00;4.0;11;1.00;21;10;1.00;1.00;4.0
14;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;1.00;1.00;13;2.0;3.0;10;6.0;20;10;1.00;2.0;1.00
15;0;0.0;0.0;1.8;579748;1561676;9.1;3.7;19;1.9;1.9;4.9;0.90;8.9;9.9;0.90;20;8.9;1.9;4.9;2.9
16;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;4.0;2.0;2.0;2.0;7.0;11;7.0;20;8.0;3.0;1.00;1.00
17;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;3.0;6.0;4.0;2.0;3.0;12;13;13;10;1.00;2.0;3.0
18;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;3.9;1.9;1.9;0.90;13;9.9;14;9.9;8.9;0.90;0.90;1.9
19;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;1.9;0.90;2.9;0.90;1.9;16;13;20;9.9;0.90;1.9;0.90
20;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;3.9;20;3.9;1.9;1.9;9.9;16;1.9;8.9;0.90;0.0;0.90
21;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;12;20;3.9;0.0;0.90;9.9;0.90;1.9;8.9;0.90;0.90;3.9
22;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;4.0;11;3.0;2.0;2.0;12;13;10;9.0;1.00;1.00;1.00
23;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;0.0;2.9;3.9;1.9;0.90;11;15;23;8.9;0.90;0.90;1.9
24;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;3.0;20;12;1.00;1.00;10;1.00;2.0;11;1.00;1.00;3.0
25;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;0.0;4.0;1.00;2.0;2.0;24;1.00;8.0;11;13;1.00;1.00
26;0;0.0;0.0;1.8;579748;1561676;9.1;4.1;19;0.90;2.9;0.90;3.9;4.9;19;0.90;3.9;9.9;12;0.90;14
27;0;0.0;0.0;1.8;579748;1561676;9.1;4.1;19;1.00;1.00;2.0;10;9.0;10;4.0;3.0;12;6.0;3.0;13
28;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;0.90;1.9;1.9;12;20;9.9;0.90;3.9;8.9;0.90;0.90;1.9
29;0;0.0;0.0;1.8;579748;1561676;9.1;3.7;19;0.90;0.90;3.9;12;19;11;1.9;0.90;11;0.90;1.9;1.9
30;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;2.0;3.0;3.0;1.00;20;10;13;2.0;11;0.0;1.00;1.00
31;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;0.90;1.9;1.9;3.9;21;11;13;0.0;14;1.9;0.0;1.9
32;0;0.0;0.0;1.8;579748;1561676;9.1;3.9;19;1.9;3.9;0.90;0.0;20;9.9;13;0.90;8.9;2.9;0.90;0.90
33;0;0.0;0.0;1.8;579748;1561676;9.1;4.1;19;2.0;1.00;3.0;3.0;21;11;2.0;7.0;11;4.0;7.0;1.00
34;0;0.0;0.0;1.8;579748;1561676;9.1;4.0;19;3.9;7.9;0.90;1.9;21;9.9;1.9;2.9;11;1.9;4.9;0.90
35;0;0.0;0.0;1.8;579748;1561676;9.1;3.8;19;0.90;14;3.9;2.9;20;9.9;1.9;3.9;9.9;0.90;0.90;0.90
36;0;0.0;0.0;1.8;579748;1561676;9.1;4.2;19;1.00;4.0;1.00;4.0;21;11;1.00;3.0;9.0;10;4.0;1.00
37;1;5442.856934;16485.714844;1.8;590828;1632876;9.1;4.0;19;1.00;2.0;12;2.0;13;10;1.00;2.0;13;13;4.0;1.00
38;1;1496.000000;7216.000000;1.8;590828;1632876;9.1;3.8;19;0.90;0.90;20;4.9;0.90;8.9;1.9;2.9;8.9;7.9;2.9;0.90
39;1;888;5448.000000;1.8;590828;1632876;9.1;4.0;19;1.00;4.0;6.0;13;2.0;12;1.00;2.0;12;7.0;12;1.00
40;1;888;3776.000000;1.8;590828;1632876;9.1;4.2;19;2.9;12;0.90;1.9;1.9;9.9;2.9;9.9;13;2.9;14;1.9
41;1;832;2872.000000;1.8;590828;1632876;9.1;4.2;19;1.00;2.0;3.0;2.0;8.0;11;3.0;1.00;10;0.0;6.0;21
42;1;888;4728.000000;1.8;590828;1632876;9.1;4.1;19;1.9;4.9;0.90;0.90;8.9;11;2.9;5.9;9.9;0.90;11;14
43;1;1000.000000;11744.000000;1.8;590828;1632876;9.1;3.9;19;9.0;6.0;8.0;2.0;1.00;10;3.0;1.00;12;2.0;15;2.0
44;1;888;2080.000000;1.8;590828;1632876;9.1;4.0;19;2.0;20;7.0;12;5.0;11;1.00;1.00;6.0;2.0;0.0;2.0
45;1;888;7576.000000;1.8;590828;1632876;9.1;4.3;19;2.9;9.9;5.9;14;15;9.9;1.9;0.90;7.9;0.90;0.90;0.90
46;1;832;1120.000000;1.8;590828;1632876;9.1;3.8;19;2.0;1.00;10;10;19;10;2.0;1.00;6.0;5.0;2.0;3.0
47;1;888;8144.000000;1.8;590828;1632876;9.1;3.9;19;0.0;0.90;6.9;1.9;0.90;11;12;0.90;6.9;2.9;3.9;20
48;0;0.0;0.0;1.8;585352;1627212;9.1;4.2;19;3.0;3.0;7.0;2.0;1.00;14;6.0;10;10;2.0;2.0;17
49;0;0.0;0.0;1.8;585352;1627212;9.1;3.6;19;3.0;2.0;9.0;7.0;3.0;10;2.0;2.0;19;0.0;3.0;5.0
50;0;0.0;0.0;1.8;585352;1627212;9.1;3.7;19;0.0;1.9;11;2.9;2.9;12;12;0.90;18;1.9;0.90;0.90
51;0;0.0;0.0;1.8;585352;1627212;9.1;3.8;19;0.90;2.9;8.9;3.9;1.9;9.9;8.9;0.90;19;0.90;5.9;0.90
52;0;0.0;0.0;1.8;585352;1627212;9.1;4.2;19;3.9;1.9;8.9;19;0.90;11;0.90;2.9;6.9;11;0.90;3.9
53;0;0.0;0.0;1.8;585352;1627212;9.1;3.9;19;3.0;1.00;10;21;4.0;10;10;3.0;2.0;2.0;2.0;1.00
54;0;0.0;0.0;1.8;585352;1627212;9.1;3.8;19;7.0;2.0;9.0;11;2.0;10;11;1.00;10;1.00;1.00;2.0
55;0;0.0;0.0;1.8;585352;1627212;9.1;3.7;19;0.90;3.9;7.9;1.9;3.9;9.9;0.90;7.9;19;5.9;1.9;2.9
56;0;0.0;0.0;1.8;585352;1627212;9.1;4.2;19;3.0;21;10;3.0;1.00;10;11;3.0;1.00;1.00;2.0;4.0
57;0;0.0;0.0;1.8;585352;1627212;9.1;4.1;19;13;7.9;12;2.9;3.9;11;0.90;14;0.0;0.0;0.90;1.9
58;0;0.0;0.0;1.8;585352;1627212;9.1;4.2;19;14;10;10;5.0;1.00;11;2.0;15;1.00;2.0;1.00;4.0
59;0;0.0;0.0;1.8;585352;1627212;9.1;3.8;19;1.00;1.00;10;1.00;4.0;10;1.00;19;13;7.0;1.00;2.0
60;0;0.0;0.0;1.8;585352;1627212;9.1;3.8;19;0.90;0.90;11;0.90;0.90;11;1.9;20;13;0.0;1.9;4.9
61;0;0.0;0.0;1.8;585352;1627212;9.1;3.8;19;1.00;2.0;9.0;6.0;4.0;11;1.00;18;2.0;1.00;5.0;5.0
62;0;0.0;0.0;1.8;585352;1627212;9.1;4.0;19;2.0;1.00;10;2.0;8.0;32;1.00;3.0;4.0;2.0;6.0;0.0
63;0;0.0;0.0;1.8;585352;1627212;9.1;4.1;19;1.00;3.0;11;2.0;2.0;11;13;0.0;1.00;11;12;4.0
64;0;0.0;0.0;1.8;585352;1627212;9.1;3.9;19;0.90;9.9;8.9;18;3.9;11;4.9;2.9;1.9;2.9;2.9;1.9
