time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579644;1561684;22;3.3;19;1.00;6.0;1.00;2.0;4.0;23;4.0;1.00;2.0;2.0;4.0;10
1;0;0.0;0.0;1.8;579644;1561684;22;4.1;19;1.9;4.9;0.90;1.9;0.0;31;13;1.9;3.9;0.90;5.9;2.9
2;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;0.90;7.9;4.9;1.9;6.9;11;5.9;3.9;0.90;21;4.9;1.9
3;0;0.0;0.0;1.8;579644;1561684;22;3.7;19;2.0;8.0;1.00;2.0;10;10;1.00;4.0;5.0;19;5.0;1.00
4;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.90;5.9;3.9;2.9;1.9;9.9;11;2.9;2.9;21;4.9;0.90
5;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;13;18;2.9;3.9;1.9;9.9;4.9;6.9;1.9;0.0;3.9;0.90
6;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;3.0;20;3.0;1.00;12;9.0;2.0;4.0;1.00;1.00;5.0;1.00
7;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;3.9;5.9;0.90;3.9;12;9.9;1.9;20;0.90;0.90;4.9;3.9
8;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;2.9;4.9;3.9;0.90;13;9.9;0.90;21;2.9;1.9;4.9;0.90
9;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;3.0;5.0;8.0;2.0;2.0;10;2.0;20;3.0;3.0;5.0;6.0
10;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.90;3.9;6.9;1.9;8.9;11;2.9;21;0.90;1.9;4.9;2.9
11;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;2.0;5.0;1.00;3.0;13;10;2.0;20;3.0;2.0;5.0;1.00
12;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;2.9;3.9;5.9;0.90;6.9;8.9;2.9;21;1.9;0.90;7.9;1.9
13;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;2.0;18;6.0;1.00;2.0;12;3.0;7.0;11;2.0;5.0;1.00
14;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;1.9;9.9;3.9;5.9;2.9;9.9;7.9;4.9;5.9;7.9;5.9;1.9
15;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;1.00;2.0;2.0;1.00;2.0;13;20;5.0;4.0;9.0;5.0;2.0
16;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.90;0.90;1.9;13;3.9;9.9;23;4.9;2.9;4.9;5.9;2.9
17;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.0;5.9;6.9;3.9;3.9;11;9.9;8.9;4.9;1.9;4.9;8.9
18;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;1.00;4.0;7.0;2.0;20;10;1.00;1.00;9.0;2.0;5.0;3.0
19;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;1.9;5.9;12;2.9;20;8.9;0.0;1.9;1.9;2.9;4.9;3.9
20;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;0.90;5.9;7.9;3.9;21;9.9;3.9;1.9;0.90;0.90;4.9;5.9
21;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;7.0;7.0;1.00;2.0;15;10;8.0;5.0;1.00;2.0;5.0;6.0
22;0;0.0;0.0;1.8;579644;1561684;22;3.7;19;5.9;20;1.9;3.9;1.9;9.9;1.9;4.9;8.9;1.9;4.9;0.90
23;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;3.0;20;2.0;1.00;2.0;12;1.00;5.0;11;3.0;5.0;2.0
24;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.90;11;0.90;1.9;3.9;9.9;4.9;15;12;0.90;4.9;0.90
25;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;1.9;13;4.9;2.9;2.9;9.9;0.90;11;8.9;1.9;4.9;2.9
26;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;4.0;5.0;10;2.0;3.0;9.0;0.0;20;2.0;2.0;5.0;6.0
27;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;1.9;8.9;9.9;2.9;0.90;9.9;3.9;16;1.9;1.9;4.9;3.9
28;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;2.0;10;6.0;3.0;3.0;10;8.0;16;3.0;2.0;5.0;1.00
29;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;11;16;1.00;1.00;3.0;10;6.0;11;2.0;2.0;5.0;2.0
30;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;1.9;4.9;3.9;0.90;1.9;9.9;11;20;1.9;2.9;4.9;1.9
31;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;0.90;13;0.90;2.9;0.90;8.9;0.90;13;13;3.9;6.9;1.9
32;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;2.0;5.0;2.0;3.0;2.0;10;2.0;20;14;0.0;5.0;3.0
33;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.90;3.9;5.9;1.9;4.9;9.9;0.90;17;1.9;3.9;14;0.90
34;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;1.9;5.9;0.90;2.9;4.9;8.9;1.9;2.9;20;0.90;13;1.9
35;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;0.0;6.0;20;5.0;5.0;12;2.0;3.0;2.0;1.00;12;0.0
36;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;12;4.9;4.9;0.90;4.9;9.9;0.90;3.9;1.9;1.9;16;6.9
37;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;5.9;7.9;1.9;16;4.9;9.9;3.9;1.9;0.90;0.90;13;0.90
38;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;2.0;5.0;0.0;10;5.0;11;5.0;2.0;2.0;10;6.0;13
39;0;0.0;0.0;1.8;579644;1561684;22;4.1;19;2.9;4.9;1.9;12;4.9;12;1.9;3.9;0.90;11;0.90;15
40;0;0.0;0.0;1.8;579644;1561684;22;4.2;19;3.0;6.0;1.00;3.0;5.0;11;2.0;1.00;2.0;20;4.0;14
41;0;0.0;0.0;1.8;579644;1561684;22;4.0;19;3.9;4.9;1.9;0.90;4.9;12;1.9;3.9;0.90;21;0.90;14
42;0;0.0;0.0;1.8;579644;1561684;22;4.0;19;8.9;5.9;1.9;3.9;16;11;4.9;0.90;1.9;4.9;5.9;4.9
43;0;0.0;0.0;1.8;579644;1561684;22;3.8;19;6.0;5.0;2.0;2.0;20;10;9.0;4.0;0.0;1.00;5.0;2.0
44;0;0.0;0.0;1.8;579644;1561684;22;4.0;19;7.0;5.0;1.00;1.00;21;11;4.0;6.0;1.00;2.0;8.0;4.0
45;0;0.0;0.0;1.8;579644;1561684;22;3.9;19;1.9;8.9;1.9;2.9;7.9;9.9;1.9;14;1.9;12;5.9;2.9
