type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1734528772864,0,1,1,70,6.1176467,5.4150944,-102.66134,-97.52406,47.91134,0,0,-0.08099999,0.06999996,3966.292,30.0,2.8565655,0.7682927,11202.247,26.31579,40.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1734528773864,0,1,1,70,4.4999995,1.5833331,-103.50427,-98.59225,47.213467,0,0,-0.32599995,0.07199997,1088.0,92.59259,2.4018378,0.0,176.0,0.0,40.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1734528774864,0,1,1,70,2.7600002,0.23529412,-102.57338,-97.8687,47.88681,0,0,-0.32000002,0.075999975,1000.0,79.31035,3.4373703,0.8,528.0,20.0,40.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1734528775864,0,1,1,70,8.5,2.3606558,0.0,-429.41965,184.7233,0,0,-0.548,0.075999975,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,0,0,0.0,0.0,84,0
metrics,1734528776864,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,-0.548,0.075999975,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,0,0,0.0,0.0,84,0
metrics,1734528777864,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,-0.548,0.075999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,0,0,0.0,0.0,84,0
metrics,1734528778864,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,-0.548,0.075999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,0,0,0.0,0.0,84,0
metrics,1734528779864,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,-0.548,0.075999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,0,0,0.0,0.0,84,0
metrics,1734528813864,0,1,2,71,9.304348,7.195122,-102.59681,-100.53272,47.235264,0,0,-0.022999996,0.02400001,3304.0,20.0,3.2020469,0.69784164,5248.0,11.111111,40.0,0,3,9,84,0,0.039,0.0,0,0
metrics,1734528814864,0,1,2,71,10.55,20.0,-103.60095,-101.21798,46.738003,0,0,-0.099,0.02500001,0.0,100.0,2.5129633,0.0,88.0,0.0,40.0,0,3,9,168,0,0.079,0.0,0,0
metrics,1734528815864,0,1,2,71,13.959999,20.0,-103.03654,-102.50651,47.241306,0,0,-0.117,0.02600001,776.77673,50.0,3.361325,0.0,88.08808,0.0,40.0,0,3,9,252,0,0.064,0.0,0,0
metrics,1734528816864,0,1,2,71,7.5199995,0.41379312,-97.85609,-96.00849,47.894596,0,0,-0.12899998,0.02700001,895.10486,36.363636,7.697172,0.0,87.91209,0.0,40.0,0,3,9,336,0,0.056,0.0,0,0
metrics,1734528817864,0,1,2,71,6.652174,0.0,-105.7957,-100.07212,47.385563,0,0,-0.12599997,-0.12399999,456.0,85.71429,0.37616438,4.0,256.0,88.888885,40.0,0,3,9,336,0,0.056,0.0,0,0
metrics,1734528818864,0,1,2,71,4.7916665,3.0,-100.273766,-97.53126,46.4533,0,0,-0.12399997,-0.12299999,808.8088,0.0,6.1963534,2.0,176.17616,0.0,40.0,0,3,9,420,0,0.049,0.0,0,0
metrics,1734528819864,0,1,2,71,4.08,4.0,-94.60913,-90.65103,47.14247,0,0,-0.121999964,-0.12199999,815.18475,0.0,12.634183,4.0,255.74425,0.0,40.0,0,3,9,504,0,0.044,0.0,0,0
metrics,1734528820864,0,1,2,71,3.8400004,12.0,0.0,-5110.738,2483.9822,0,0,-0.19799994,-0.12199999,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,504,0,0.044,0.0,84,0
metrics,1734528821864,0,1,2,71,4.76,6.5,-105.38351,-97.959915,47.383945,0,0,-0.25099996,-0.19699997,2392.0,42.857143,0.8089865,4.0,88.0,91.666664,40.0,0,3,9,504,0,0.044,0.0,84,0
metrics,1734528822864,0,1,2,71,1.8888888,1.5217391,-106.2676,-96.75695,47.27539,0,0,-0.47899988,-0.19599997,0.0,100.0,0.13935617,0.0,88.0,90.0,40.0,0,3,9,588,0,0.053,0.0,84,0
metrics,1734528823864,0,1,2,71,0.1,0.9150327,0.0,0.0,0.0,0,0,-1.0109998,-0.19599997,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,588,0,0.053,0.0,84,0
