time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579640;1561656;20;3.2;19;1.00;1.00;2.0;10;15;8.0;10;2.0;1.00;1.00;2.0;4.0
1;0;0.0;0.0;1.8;579640;1561656;20;3.9;19;1.9;0.90;1.9;8.9;17;11;3.9;12;2.9;1.9;3.9;3.9
2;0;0.0;0.0;1.8;579640;1561656;20;3.9;19;1.9;1.9;9.9;9.9;0.90;11;2.9;6.9;12;6.9;0.90;3.9
3;0;0.0;0.0;1.8;579640;1561656;20;3.8;19;1.00;2.0;21;13;11;10;4.0;1.00;2.0;5.0;0.0;2.0
4;0;0.0;0.0;1.8;579640;1561656;20;3.9;19;2.0;4.0;14;9.0;12;16;1.00;1.00;2.0;2.0;1.00;5.0
5;0;0.0;0.0;1.8;579640;1561656;20;3.9;19;1.00;1.00;2.0;10;14;26;4.0;1.00;3.0;1.00;1.00;6.0
6;0;0.0;0.0;1.8;579640;1561656;20;4.3;19;1.9;0.90;0.90;8.9;13;9.9;1.9;0.90;15;5.9;2.9;9.9
7;0;0.0;0.0;1.8;579640;1561656;20;4.2;19;0.90;8.9;2.9;7.9;2.9;12;2.9;2.9;12;6.9;1.9;9.9
8;0;0.0;0.0;1.8;579640;1561656;20;4.2;19;4.0;14;2.0;9.0;1.00;11;5.0;6.0;3.0;2.0;2.0;14
9;0;0.0;0.0;1.8;579640;1561656;20;4.0;19;12;1.9;1.9;9.9;3.9;9.9;5.9;12;0.90;5.9;5.9;0.90
10;0;0.0;0.0;1.8;579640;1561656;20;4.0;19;15;7.0;4.0;10;5.0;11;1.00;1.00;3.0;2.0;9.0;4.0
11;0;0.0;0.0;1.8;579640;1561656;20;3.9;19;4.0;12;3.0;10;13;10;1.00;10;2.0;1.00;0.0;1.00
12;0;0.0;0.0;1.8;579640;1561656;20;4.4;19;1.9;11;1.9;8.9;4.9;16;0.90;3.9;2.9;3.9;1.9;16
13;0;0.0;0.0;1.8;579640;1561656;20;4.3;19;3.9;14;2.9;5.9;2.9;12;1.9;0.90;5.9;5.9;1.9;20
