type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1732196172331,0,1,3,72,12.833333,7.55,-73.64822,-70.713524,61.904186,0,0,0.008,0.0070000007,6844.4443,0.0,21.571636,12.368421,26755.555,0.0,38.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1732218572331,0,1,173,242,12.357142,8.62963,-72.87721,-70.55252,67.06754,0,0,0.011000001,-0.085999995,5369.491,0.0,21.947498,17.972973,19322.033,35.714287,29.5,0,3,9,84,0,0.022,0.0,0,0
metrics,1732218573331,0,1,173,242,9.08,14.0,-79.08713,-70.299736,57.618225,0,0,0.012000001,-0.08499999,744.0,0.0,18.643717,22.0,1864.0,0.0,29.0,0,3,9,168,0,0.03,0.0,0,0
metrics,1732218574331,0,1,173,242,8.76,14.0,-78.727325,-73.18924,56.674732,0,0,0.013000001,-0.08399999,744.0,0.0,18.36382,19.0,1544.0,0.0,29.0,0,3,9,252,0,0.03,0.0,0,0
metrics,1732218575331,0,1,173,242,5.84,1.4545455,0.0,-3267.7627,3074.3652,0,0,-0.21499997,-0.08399999,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,252,0,0.03,0.0,84,0
metrics,1732218576331,0,1,173,242,4.04,4.681818,-72.50432,-62.795345,65.708206,0,0,-0.20799996,-0.07899998,1808.0,0.0,23.697601,20.0,8296.0,0.0,22.4,0,3,9,336,86,0.028,0.0,0,0
metrics,1732218577331,0,1,173,242,6.3999996,5.0,-69.449425,-63.966267,62.45052,0,0,-0.20299995,-0.07499997,1032.0,0.0,27.027311,23.0,7968.0,0.0,24.666666,0,3,9,420,382,0.026,0.0,0,0
metrics,1732218578331,0,1,173,242,3.8800004,0.1632653,0.0,-3344.9697,3529.0852,0,0,-0.20199995,-0.07499997,56.0,92.30769,0.0,0.0,0.0,0.0,0.0,0,3,9,420,382,0.026,0.0,84,0
metrics,1732218579331,0,1,174,243,11.6,6.0454545,-91.08094,-85.929565,55.62742,0,0,-0.072,-0.026999997,2801.9016,50.0,6.408398,2.3235295,2624.4055,15.384615,40.0,60,3,9,84,0,0.02,0.0,0,0
metrics,1732218580331,0,1,174,243,12.708335,12.0,-93.98959,-87.582756,55.80689,0,0,-0.06999999,-0.007999994,832.0,0.0,4.082283,0.0,1672.0,0.0,40.0,0,3,9,168,86,0.019,0.009,0,0
metrics,1732218581331,0,1,174,243,11.7894745,12.0,-91.13351,-91.96519,55.474525,0,0,-0.06799999,-0.022999993,832.0,0.0,6.622066,7.0,1744.0,20.0,0.0,0,3,9,168,172,0.019,0.006,84,0
metrics,1732218582331,0,1,174,243,12.0,5.763441,-97.18716,-96.04032,55.85353,0,0,-0.24899995,-0.1999999,3952.0,68.965515,0.8334985,1.6526313,2816.0,70.37037,40.0,5,3,9,168,172,0.019,0.006,84,4
metrics,1732218583331,0,1,174,243,9.150001,1.709091,-97.1833,-94.15718,55.495117,0,0,-0.31999996,-0.1539998,512.0,70.588234,0.7861363,0.84593827,4048.0,65.67164,40.0,0,3,9,252,407,0.024,0.131,84,0
metrics,1732218584331,0,1,174,243,6.888889,8.178082,-97.35929,-95.62379,55.82599,0,0,-0.634,-0.13899978,1944.0,70.0,0.83053505,1.219178,1320.0,72.72727,40.0,0,3,9,252,407,0.024,0.131,0,51
metrics,1732218585331,0,1,174,243,6.6249995,3.4,-96.74719,-92.55832,55.80984,0,0,-0.6620001,-0.13099976,3552.0,23.076923,1.1811986,0.0,704.0,38.46154,40.0,0,3,9,252,474,0.024,0.113,0,0
metrics,1732218586331,0,1,174,243,10.36,5.428571,-95.80569,-92.6805,55.45933,0,0,-0.69700015,-0.08299966,856.0,40.0,2.1370382,0.0,4224.0,0.0,40.0,0,3,9,336,710,0.026,0.083,0,0
metrics,1732218587331,0,1,174,243,10.333333,3.5,-96.277054,-93.63004,55.547394,0,0,-0.7670002,-0.016999671,944.0,50.0,1.6684054,0.2938389,5808.0,19.512196,40.0,0,3,9,420,1006,0.028,0.064,0,0
metrics,1732218588331,0,1,174,243,8.759999,8.285714,-93.85145,-89.22188,55.77037,0,0,-0.76300025,0.022000333,912.0,0.0,4.323908,1.44,5736.0,0.0,40.0,31,3,9,504,1233,0.028,0.054,0,0
metrics,1732218589331,0,1,174,243,7.64,5.3636365,-94.960884,-89.81694,55.669308,0,0,-0.7950003,0.108000375,1024.0,25.0,2.942581,0.0,7568.0,0.0,40.0,0,3,9,588,1594,0.028,0.045,0,0
metrics,1732218590331,0,1,174,243,9.360001,8.285714,-96.059296,-92.25585,55.639538,0,0,-0.81200033,0.12900041,800.0,33.333332,2.1385696,0.0,1848.0,0.0,40.0,0,3,9,672,1680,0.028,0.044,0,0
metrics,1732218591331,0,1,174,243,12.360001,2.266667,-96.15497,-92.0402,55.66785,0,0,-0.8630004,0.19900055,944.0,60.0,1.7853954,0.30541876,6160.0,11.3924055,40.0,0,3,9,756,1979,0.028,0.04,0,0
metrics,1732218592331,0,1,174,243,12.360001,8.363636,-96.194374,-92.13736,55.542263,0,0,-0.86000043,0.25900054,888.0,0.0,2.0522742,0.0,5280.0,0.0,40.0,0,3,9,840,2275,0.027,0.036,0,0
