time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579516;1561680;17;3.1;19;2.9;1.9;0.90;5.9;16;7.9;8.9;1.9;0.90;7.9;1.9;0.0
1;0;0.0;0.0;1.8;579516;1561680;17;3.9;19;11;1.00;4.0;2.0;17;9.0;2.0;3.0;3.0;9.0;7.0;2.0
2;0;0.0;0.0;1.8;579516;1561680;17;4.0;19;6.0;3.0;2.0;6.0;6.0;10;8.0;1.00;3.0;10;13;1.00
3;0;0.0;0.0;1.8;579516;1561680;17;3.9;19;3.9;1.9;2.9;1.9;14;9.9;19;0.0;3.9;8.9;1.9;0.0
4;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;1.00;1.00;2.0;4.0;2.0;10;20;1.00;1.00;9.0;12;4.0
5;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;0.90;0.90;3.9;3.9;1.9;13;22;2.9;0.90;8.9;13;0.90
6;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;2.0;2.0;1.00;3.0;1.00;10;21;10;1.00;9.0;3.0;2.0
7;0;0.0;0.0;1.8;579516;1561680;17;4.2;19;0.90;0.90;1.9;5.9;3.9;12;20;13;0.90;6.9;0.90;0.90
8;0;0.0;0.0;1.8;579516;1561680;17;3.9;19;6.9;1.9;3.9;8.9;11;11;7.9;7.9;1.9;8.9;1.9;2.9
9;0;0.0;0.0;1.8;579516;1561680;17;4.2;19;2.0;2.0;3.0;5.0;21;13;1.00;14;1.00;5.0;1.00;2.0
10;0;0.0;0.0;1.8;579516;1561680;17;4.1;19;1.00;2.0;4.0;3.0;3.0;10;1.00;14;15;9.0;6.0;1.00
11;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;1.9;9.9;0.90;1.9;4.9;12;2.9;6.9;13;9.9;2.9;3.9
12;0;0.0;0.0;1.8;579516;1561680;17;3.9;19;2.0;15;4.0;7.0;2.0;10;2.0;0.0;1.00;9.0;2.0;14
13;0;0.0;0.0;1.8;579516;1561680;17;3.7;19;5.9;2.9;1.9;21;0.90;12;6.9;2.9;4.9;7.9;0.90;0.90
14;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;4.9;1.9;1.9;18;4.9;9.9;0.90;3.9;0.90;11;7.9;1.9
15;0;0.0;0.0;1.8;579516;1561680;17;3.9;19;1.00;3.0;2.0;21;6.0;10;1.00;2.0;1.00;7.0;13;1.00
16;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;2.0;3.0;1.00;21;13;10;1.00;3.0;2.0;4.0;7.0;2.0
17;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;3.9;8.9;0.90;20;2.9;12;0.90;5.9;0.90;4.9;4.9;1.9
18;0;0.0;0.0;1.8;579516;1561680;17;3.8;19;2.0;2.0;15;9.0;5.0;10;1.00;10;1.00;4.0;7.0;2.0
19;1;6844.444336;26755.554688;1.8;590596;1567344;17;3.9;19;0.90;1.9;21;13;5.9;13;0.90;2.9;1.9;5.9;3.9;0.90
20;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;1.9;0.90;20;12;4.9;9.9;0.90;0.90;2.9;4.9;3.9;3.9
21;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;3.0;2.0;10;13;4.0;12;1.00;1.00;3.0;5.0;13;1.00
22;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;4.0;3.0;1.00;2.0;4.0;10;3.0;12;1.00;5.0;20;2.0
23;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;0.90;1.9;6.9;1.9;8.9;9.9;2.9;6.9;5.9;3.9;17;1.9
24;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;4.0;1.00;10;7.0;11;10;3.0;8.0;0.0;5.0;5.0;2.0
25;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;0.90;1.9;2.9;20;1.9;8.9;1.9;13;1.9;3.9;4.9;2.9
26;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;1.9;2.9;1.9;20;2.9;9.9;2.9;13;2.9;4.9;4.9;1.9
27;0;0.0;0.0;1.8;585132;1561680;17;3.7;19;1.00;2.0;4.0;14;3.0;9.0;2.0;12;1.00;10;5.0;1.00
28;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;7.9;0.90;1.9;7.9;2.9;15;6.9;7.9;0.90;12;4.9;0.90
29;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;2.0;2.0;4.0;6.0;2.0;20;3.0;4.0;9.0;5.0;4.0;10
30;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;12;1.00;1.00;4.0;1.00;11;4.0;1.00;2.0;5.0;6.0;22
31;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;13;0.90;7.9;2.9;1.9;8.9;0.90;4.9;5.9;6.9;4.9;11
32;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;12;2.9;1.9;3.9;3.9;9.9;1.9;2.9;18;4.9;5.9;0.90
33;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;1.00;20;2.0;13;6.0;10;2.0;4.0;0.0;5.0;2.0;2.0
34;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;0.90;16;3.9;13;4.9;9.9;2.9;4.9;0.90;6.9;0.90;1.9
35;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;2.9;20;1.9;6.9;5.9;9.9;0.90;4.9;7.9;4.9;2.9;0.90
36;0;0.0;0.0;1.8;585132;1561680;17;3.8;19;1.9;0.90;3.9;3.9;7.9;8.9;6.9;20;5.9;4.9;0.90;1.9
37;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;4.0;11;1.00;1.00;6.0;10;8.0;14;2.0;6.0;3.0;2.0
38;0;0.0;0.0;1.8;585132;1561680;17;4.1;19;0.90;0.90;17;1.9;4.9;9.9;1.9;1.9;22;4.9;5.9;1.9
39;0;0.0;0.0;1.8;585132;1561680;17;3.9;19;3.0;1.00;4.0;13;5.0;10;2.0;1.00;21;5.0;5.0;1.00
40;1;650;3783.333252;1.8;586976;1561680;17;3.8;19;3.9;1.9;2.9;13;9.9;9.9;1.9;0.90;15;5.9;2.9;0.90
41;1;0.0;0.0;1.8;586976;1561680;17;3.9;19;2.0;2.0;14;3.0;20;10;2.0;1.00;2.0;5.0;5.0;2.0
