type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1737032511686,0,1,1,70,12.440001,10.782609,-92.95678,-90.46668,46.517704,0,0,0.013000001,0.0150000015,3240.0,0.0,13.720751,12.76,7048.0,0.0,40.0,0,3,9,84,0,0.032,0.0,0,0
metrics,1737032512686,0,1,1,70,11.559999,20.0,-92.58651,-90.66803,46.07895,0,0,0.014000001,0.016,776.0,0.0,14.844479,12.0,776.0,0.0,40.0,0,3,9,168,0,0.03,0.0,0,0
metrics,1737032513686,0,1,1,70,11.96,20.0,-94.00001,-91.6958,45.826626,0,0,0.0150000015,0.017,776.0,0.0,13.041584,14.0,1000.0,0.0,40.0,0,3,9,252,0,0.026,0.0,0,0
metrics,1737032514686,0,1,1,70,12.200001,20.0,-94.08704,-91.76491,45.622845,0,0,0.016,0.018000001,776.0,0.0,12.844367,12.0,776.0,0.0,40.0,0,3,9,336,0,0.024,0.0,0,0
metrics,1737032515686,0,1,1,70,13.44,8.0,-94.11426,-92.21862,46.39955,0,0,0.020000001,0.021000002,944.0,0.0,12.561208,11.0,2168.0,0.0,40.0,0,3,9,420,233,0.026,0.0,0,0
metrics,1737032516686,0,1,1,70,13.2,10.857142,-94.167175,-92.21034,46.00906,0,0,0.023000002,0.023000002,888.0,0.0,13.57635,12.0,1552.0,0.0,40.0,0,3,9,504,382,0.026,0.0,0,0
metrics,1737032517686,0,1,1,70,12.280001,13.6,-93.63351,-91.825554,45.483376,0,0,0.025000002,0.024000002,832.0,0.0,12.448316,14.0,1000.0,0.0,40.0,0,3,9,588,468,0.027,0.0,0,0
metrics,1737032518686,0,1,1,70,12.240001,13.6,-94.09851,-91.450264,45.750656,0,0,0.027000003,0.025000002,832.0,0.0,14.421062,12.0,776.0,0.0,40.0,0,3,9,672,554,0.027,0.0,0,0
metrics,1737032519686,0,1,1,70,12.560001,13.6,-93.2275,-91.15234,45.873245,0,0,0.029000003,0.026000002,832.0,0.0,13.082722,14.0,1000.0,0.0,40.0,0,3,9,756,640,0.027,0.0,0,0
metrics,1737032520686,0,1,1,70,12.2,9.333333,-93.01894,-89.9054,45.846672,0,0,0.033,0.029000003,944.0,0.0,13.875932,12.0,2328.0,0.0,40.0,0,3,9,840,873,0.027,0.0,0,0
metrics,1737032521686,0,1,1,70,12.320001,10.857142,-93.76609,-91.279594,45.664875,0,0,0.035999995,0.031000003,888.0,0.0,13.5138445,13.0,1776.0,0.0,40.0,0,3,9,924,1022,0.026,0.0,0,0
metrics,1737032522686,0,1,1,70,12.360001,9.333333,-94.26028,-91.9515,46.16783,0,0,0.03899999,0.033,888.0,0.0,13.303805,12.0,1552.0,0.0,40.0,0,3,9,1008,1182,0.026,0.0,0,0
metrics,1737032523686,0,1,1,70,9.720001,5.714286,-101.745636,-89.93763,46.734444,0,0,0.041999985,-0.040999997,1048.0,0.0,5.590399,13.166667,2320.0,66.666664,40.0,0,3,9,1092,1335,0.026,0.0,0,0
metrics,1737032524686,0,1,1,70,8.680001,13.6,-91.14664,-85.9838,46.63998,0,0,0.04399998,-0.04,832.0,0.0,14.265403,17.0,1288.0,0.0,40.0,0,3,9,1176,1421,0.025,0.0,0,0
metrics,1737032525686,0,1,1,70,7.4,4.076923,-91.736305,-86.81092,47.054653,0,0,0.04999997,-0.036000006,1000.0,0.0,15.476329,14.0,4000.0,0.0,40.0,0,3,9,1260,1738,0.025,0.0,0,0
metrics,1737032526686,0,1,1,70,1.5333333,0.058823526,-105.070496,-81.03697,49.68221,0,0,0.051999968,-0.26199996,112.0,90.0,2.2450442,15.928572,2288.0,85.71429,40.0,0,3,9,1260,1867,0.025,0.0,84,0
metrics,1737032527686,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,0.051999968,-0.26199996,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1260,1867,0.025,0.0,84,0
metrics,1737032528686,0,1,1,70,0.1,0.0,0.0,0.0,0.0,0,0,0.051999968,-0.26199996,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1260,1867,0.025,0.0,84,0
metrics,1737032529686,0,1,1,70,12.0,0.0,0.0,-218.02374,89.46976,0,0,0.051999968,-0.26199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1260,1867,0.025,0.0,84,0
metrics,1737032530686,0,1,1,70,1.0,0.0,0.0,-217.72803,91.6778,0,0,0.051999968,-0.26199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1260,1867,0.025,0.0,0,0
metrics,1737032531686,0,1,1,70,11.0,0.0,0.0,-216.2788,88.60427,0,0,0.051999968,-0.26199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1260,1867,0.025,0.0,0,0
metrics,1737032535686,0,1,5,74,15.0,10.424242,-94.86082,-89.971886,49.395515,0,0,0.013000001,0.035,6870.8384,0.0,10.993919,8.780142,39786.95,1.8181819,40.0,0,3,9,420,2226,0.029,0.001,0,0
metrics,1737032536686,0,1,5,74,14.799999,10.1875,-97.16816,-95.727295,46.309353,0,0,0.019000001,0.047999978,1840.0,0.0,9.480763,7.181818,4744.0,0.0,40.0,0,3,9,588,2594,0.03,0.002,0,0
metrics,1737032537686,0,1,5,74,15.0,9.75,-97.92554,-96.38355,46.038265,0,0,0.023000002,0.05899996,1728.0,0.0,9.2374325,6.769231,3984.0,0.0,40.0,0,3,9,756,2840,0.03,0.002,0,0
metrics,1737032538686,0,1,5,74,15.0,7.285714,-97.817375,-96.72051,46.26607,0,0,0.030000003,0.07899999,1896.0,0.0,8.757576,6.4468083,6648.0,0.0,40.0,0,3,9,924,3293,0.03,0.003,0,0
metrics,1737032539686,0,1,5,74,14.919999,9.928572,-97.56372,-96.256424,46.34468,0,0,0.034999996,0.092000015,1784.0,0.0,8.877614,6.7419353,4600.0,0.0,40.0,0,3,9,1092,3602,0.03,0.004,0,0
metrics,1737032540686,0,1,5,74,14.84,9.5,-97.19399,-95.8698,46.206448,0,0,0.040999986,0.03100002,1840.0,0.0,9.279609,8.272727,17976.0,12.820513,40.0,0,3,9,1260,4313,0.03,0.004,0,0
metrics,1737032541686,0,1,5,74,14.919999,9.5,-97.32707,-95.8641,46.01633,0,0,0.046999976,0.015000017,1840.0,0.0,9.107948,7.1052637,8752.0,8.333333,40.0,0,3,9,1428,4879,0.03,0.004,0,0
metrics,1737032542686,0,1,5,74,13.959999,12.25,-97.86618,-96.1246,46.14065,0,0,0.05099997,0.013000021,1728.0,0.0,8.358782,6.1860466,6000.0,5.5555553,40.0,0,3,9,1596,5125,0.03,0.004,0,0
metrics,1737032543686,0,1,5,74,13.440001,10.521738,-103.65039,-99.77595,46.09877,0,0,-0.073000036,0.029000033,1896.0,43.75,2.8783665,0.6535087,8304.0,17.045454,40.0,0,3,9,1680,5578,0.029,0.005,0,0
metrics,1737032544686,0,1,5,74,11.799999,9.0625,-101.027084,-97.12712,46.228992,0,0,-0.067000024,-0.012999961,1840.0,0.0,5.489994,3.368421,8192.0,10.526316,40.0,0,3,9,1848,5887,0.029,0.005,0,0
metrics,1737032545686,0,1,5,74,13.399999,8.764706,-98.5303,-94.801704,46.247868,0,0,-0.06100002,-0.002999952,1808.0,0.0,7.780028,5.976191,18472.0,4.0,40.0,0,3,9,2016,6598,0.028,0.005,0,0
metrics,1737032546686,0,1,5,74,13.639999,7.714285,-98.21647,-95.39868,46.059093,0,0,-0.05400003,0.02300005,1800.0,0.0,7.797526,6.0625,10000.0,0.0,40.0,0,3,9,2184,7164,0.028,0.005,0,0
metrics,1737032547686,0,1,5,74,12.666666,7.857143,-103.930695,-94.6958,45.739243,0,0,-0.12700003,-0.2659999,1672.0,57.142857,2.4496367,3.2727273,4120.0,57.142857,40.0,0,3,9,2352,7410,0.028,0.005,0,0
metrics,1737032548686,0,1,5,74,14.799999,7.3809524,-100.29988,-96.51517,46.28011,0,0,-0.11900002,-0.2660003,1912.0,0.0,6.343338,3.4466019,9088.0,7.3170733,40.0,0,3,9,2520,7863,0.028,0.006,0,0
metrics,1737032549686,0,1,5,74,14.666666,7.1764708,-101.32505,-97.90607,45.727917,0,0,-0.113000005,-0.2740009,1736.0,0.0,5.5761127,2.1376815,9600.0,9.259259,40.0,0,3,9,2688,8239,0.027,0.006,0,0
metrics,1737032550686,0,1,5,74,15.0,9.5,-93.02853,-91.711105,46.21153,0,0,-0.10699999,-0.25700113,1840.0,0.0,14.0736475,10.155556,11352.0,0.0,40.0,0,3,9,2856,8803,0.027,0.006,0,0
metrics,1737032551686,0,1,5,74,14.84,10.307693,-94.53975,-93.510605,46.082752,0,0,-0.10199998,-0.2390012,1784.0,0.0,12.155955,10.065217,11264.0,0.0,40.0,0,3,9,3024,9306,0.026,0.005,0,0
metrics,1737032552686,0,1,5,74,15.0,12.25,-97.70937,-97.45537,45.79702,0,0,-0.097999975,-0.22900118,1728.0,0.0,9.003581,6.7826085,3584.0,0.0,40.0,0,3,9,3192,9552,0.026,0.006,0,0
metrics,1737032553686,0,1,5,74,15.0,9.333333,-98.46335,-97.18882,46.174965,0,0,-0.09199996,-0.24600115,1776.0,0.0,7.9129987,5.4587154,14000.0,6.976744,40.0,0,3,9,3360,10005,0.026,0.006,0,0
metrics,1737032554686,0,1,5,74,15.0,9.5,-98.58727,-97.22657,46.094765,0,0,-0.08499995,-0.20900108,1896.0,0.0,7.7458444,5.163043,12424.0,0.0,40.0,0,3,9,3528,10451,0.026,0.006,0,0
metrics,1737032555686,0,1,5,74,15.0,9.823529,-97.93124,-96.57469,46.28319,0,0,-0.07899994,-0.17700101,1840.0,0.0,8.630443,6.329114,12800.0,0.0,40.0,0,3,9,3696,11015,0.026,0.006,0,0
