time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579676;1561716;17;3.1;19;9.9;0.90;5.9;6.9;0.90;7.9;0.90;2.9;9.9;3.9;0.90;6.9
1;0;0.0;0.0;1.8;579676;1561716;17;3.9;19;2.9;1.9;21;2.9;2.9;9.9;2.9;9.9;1.9;3.9;2.9;4.9
2;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;0.90;1.9;20;1.9;2.9;9.9;1.9;8.9;1.9;4.9;6.9;4.9
3;0;0.0;0.0;1.8;579676;1561716;17;3.9;19;9.0;2.0;20;1.00;2.0;10;3.0;4.0;2.0;5.0;7.0;6.0
4;0;0.0;0.0;1.8;579676;1561716;17;4.0;19;13;0.90;21;0.90;2.9;9.9;3.9;0.90;1.9;4.9;1.9;4.9
5;0;0.0;0.0;1.8;579676;1561716;17;3.9;19;12;4.0;20;2.0;3.0;10;3.0;2.0;3.0;6.0;1.00;5.0
6;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;2.9;2.9;18;2.9;1.9;11;4.9;12;0.0;3.9;1.9;6.9
7;0;0.0;0.0;1.8;579676;1561716;17;4.0;19;1.00;11;2.0;0.0;1.00;14;3.0;5.0;2.0;6.0;1.00;22
8;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;2.9;12;4.9;1.9;11;14;1.9;0.0;2.9;5.9;8.9;4.9
9;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;2.0;13;1.00;3.0;20;13;3.0;2.0;2.0;7.0;2.0;1.00
10;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;1.9;12;0.90;0.90;21;13;1.9;0.0;3.9;4.9;0.90;0.90
11;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;2.9;12;1.9;4.9;5.9;14;0.90;1.9;1.9;5.9;16;0.90
12;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;3.0;6.0;1.00;3.0;2.0;13;1.00;7.0;3.0;5.0;21;1.00
13;0;0.0;0.0;1.8;579676;1561716;17;3.7;19;2.0;1.00;2.0;12;1.00;13;3.0;0.0;2.0;7.0;20;2.0
14;0;0.0;0.0;1.8;579676;1561716;17;3.8;19;3.0;1.00;2.0;14;2.0;13;0.0;1.00;3.0;6.0;20;1.00
15;0;0.0;0.0;1.8;579676;1561716;17;3.7;19;2.9;2.9;1.9;12;1.9;15;3.9;0.0;0.90;4.9;18;1.9
