type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1732290191672,0,1,2,71,10.304348,8.428572,-95.60965,-92.5578,56.02281,0,0,-0.042000003,0.09300001,3760.0,15.384615,2.1771119,0.0,5456.0,13.888889,40.0,0,3,9,84,0,0.103,0.0,0,0
metrics,1732290192672,0,1,2,71,9.333335,0.99999994,-92.724045,-91.033775,56.068886,0,0,-0.03300002,0.11800006,1040.0,0.0,5.145859,2.2769232,4632.0,0.0,40.0,0,3,9,168,233,0.067,0.01,0,0
metrics,1732290193672,0,1,2,71,10.5,3.7999997,-97.19329,-95.314224,55.722572,0,0,-0.25899997,0.14900015,832.0,93.10345,0.51946056,0.61896837,4488.0,78.63248,40.0,0,3,9,252,233,0.061,0.01,0,86
metrics,1732290194672,0,1,2,71,9.958334,1.9361702,-94.61525,-88.105194,56.012676,0,0,-0.28900006,0.19200024,1152.0,50.0,3.2002935,1.7911392,7392.0,29.508196,40.0,0,3,9,336,558,0.052,0.168,0,0
metrics,1732290195672,0,1,2,71,5.8,1.2727273,0.0,-4074.024,2807.7905,0,0,-0.517,0.19200024,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,336,558,0.052,0.168,84,0
metrics,1732290196672,0,1,2,71,0.1,0.0,0.0,-745.8231,564.3628,0,0,-0.517,0.19200024,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,3,9,336,558,0.052,0.168,84,0
metrics,1732290197672,0,1,2,71,0.1,0.0,0.0,0.0,0.0,0,0,-0.517,0.19200024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,336,558,0.052,0.168,84,0
metrics,1732290198672,0,1,7,76,10.6,6.2,-78.428764,-74.23658,58.914494,0,0,0.0060000005,0.016,4917.749,0.0,18.431786,13.477273,66770.56,0.0,36.5,0,3,9,0,584,0.0,0.001,84,0
metrics,1732290199672,0,1,7,76,6.880001,7.0,-78.33372,-71.539505,60.07689,0,0,0.009000001,0.020000001,856.0,0.0,18.805891,12.5,2816.0,0.0,38.0,0,3,9,84,805,0.033,0.001,84,0
metrics,1732290200672,0,1,7,76,7.2,8.0,-79.646805,-73.64811,58.80745,0,0,0.014000001,0.023000002,952.0,0.0,17.894466,19.333334,4696.0,0.0,38.0,0,3,9,168,1031,0.032,0.001,84,0
metrics,1732290201672,0,1,7,76,12.679999,4.0,-82.02974,-78.878815,56.87203,0,0,0.017,0.025000002,888.0,0.0,15.980578,18.0,2832.0,0.0,40.0,0,3,9,252,1196,0.031,0.001,84,0
metrics,1732290202672,0,1,7,76,12.84,8.0,-80.67524,-77.07543,57.045734,0,0,0.021000002,0.028000003,944.0,0.0,17.080053,16.0,3608.0,0.0,40.0,0,3,9,336,1429,0.031,0.001,0,0
