time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579660;1561720;12;2.8;19;2.0;2.0;7.0;4.0;1.00;4.0;14;4.0;2.0;11;3.0;1.00
1;0;0.0;0.0;1.8;579660;1561720;12;3.8;19;2.9;1.9;9.9;4.9;1.9;2.9;21;4.9;2.9;13;0.90;2.9
2;0;0.0;0.0;1.8;579660;1561720;12;3.8;19;0.90;4.9;9.9;5.9;7.9;9.9;3.9;5.9;1.9;13;2.9;2.9
3;0;0.0;0.0;1.8;579660;1561720;12;3.9;19;1.00;8.0;10;5.0;7.0;1.00;14;5.0;1.00;8.0;5.0;1.00
4;0;0.0;0.0;1.8;579660;1561720;12;3.8;19;1.9;11;12;4.9;1.9;0.90;20;4.9;0.90;1.9;2.9;2.9
5;0;0.0;0.0;1.8;579660;1561720;12;3.8;19;4.0;5.0;9.0;4.0;2.0;1.00;20;7.0;1.00;11;3.0;1.00
6;1;4373.333496;13293.333008;1.8;590740;1632920;12;3.9;19;1.9;3.9;9.9;5.9;0.90;0.90;21;4.9;1.9;12;0.90;0.90
7;1;744;176;1.8;590740;1632920;12;3.8;19;5.0;4.0;14;5.0;3.0;9.0;10;6.0;2.0;7.0;3.0;5.0
8;1;776;176;1.8;590740;1632920;12;3.8;19;2.0;5.0;13;7.0;10;7.0;2.0;13;2.0;1.00;3.0;1.00
9;1;936;176;1.8;590740;1632920;12;3.8;19;1.9;16;9.9;4.9;2.9;0.90;0.90;13;0.90;4.9;1.9;6.9
10;1;0.0;88;1.8;590740;1632920;12;4.1;19;2.0;15;10;6.0;3.0;6.0;2.0;10;4.0;1.00;2.0;12
11;1;176;176;1.8;590740;1632920;12;4.0;19;1.9;5.9;13;5.9;0.90;13;3.9;21;4.9;0.90;2.9;1.9
12;1;64;88;1.8;590740;1632920;12;3.8;19;1.00;7.0;22;7.0;2.0;1.00;2.0;9.0;1.00;2.0;11;2.0
13;1;872;88;1.8;590740;1632920;12;3.9;19;1.00;5.0;23;6.0;8.0;5.0;1.00;1.00;5.0;3.0;4.0;9.0
14;1;776;88;1.8;590740;1632920;12;3.8;19;1.9;4.9;8.9;5.9;6.9;19;2.9;1.9;1.9;6.9;1.9;2.9
15;1;776;88;1.8;590740;1632920;12;3.9;19;9.0;6.0;10;9.0;13;14;1.00;1.00;2.0;3.0;2.0;3.0
16;1;776;88;1.8;590740;1632920;12;4.2;19;3.9;6.9;9.9;4.9;1.9;15;13;1.9;3.9;0.90;2.9;6.9
17;1;776;88;1.8;590740;1632920;12;3.8;19;1.9;4.9;9.9;7.9;1.9;9.9;19;2.9;0.0;4.9;3.9;1.9
18;1;808;88;1.8;590740;1632920;12;3.8;19;1.9;20;9.9;6.9;0.90;1.9;1.9;4.9;1.9;12;2.9;0.90
19;1;776;88;1.8;590740;1632920;12;3.8;19;2.0;8.0;10;5.0;4.0;12;1.00;7.0;3.0;8.0;6.0;3.0
20;1;776;88;1.8;590740;1632920;12;3.9;19;3.9;2.9;9.9;5.9;5.9;11;9.9;6.9;4.9;4.9;0.90;0.90
21;1;776;88;1.8;590740;1632920;12;3.8;19;5.0;4.0;10;8.0;1.00;12;4.0;5.0;2.0;13;2.0;3.0
22;1;776;88;1.8;590740;1632920;12;3.8;19;5.9;2.9;8.9;6.9;7.9;13;1.9;4.9;2.9;2.9;5.9;2.9
23;1;792;88;1.8;590740;1632920;12;4.0;19;1.9;1.9;9.9;5.9;2.9;21;2.9;6.9;1.9;13;0.90;0.90
24;1;808;88;1.8;590740;1632920;12;3.9;19;0.90;4.9;9.9;6.9;0.90;20;1.9;4.9;2.9;4.9;0.90;7.9
25;1;1616.000000;88;1.8;590740;1632920;12;3.9;19;2.0;13;17;7.0;4.0;4.0;2.0;6.0;8.0;3.0;8.0;1.00
26;1;0.0;0.0;1.8;590740;1632920;12;4.0;19;0.90;13;9.9;4.9;13;1.9;1.9;6.9;1.9;1.9;8.9;0.90
27;1;0.0;0.0;1.8;590740;1632920;12;3.8;19;0.90;4.9;9.9;7.9;19;1.9;1.9;5.9;2.9;11;0.90;1.9
28;1;688;0.0;1.8;590740;1632920;12;3.8;19;1.9;17;8.9;6.9;6.9;3.9;0.90;4.9;1.9;13;1.9;1.9
29;1;2136.000000;1056.000000;1.8;590740;1632920;12;3.9;19;1.9;21;9.9;4.9;1.9;2.9;2.9;4.9;0.90;11;1.9;1.9
