time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579644;1561684;21;3.0;19;1.00;6.0;4.0;6.0;2.0;7.0;2.0;11;2.0;9.0;2.0;2.0
1;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;1.9;0.90;4.9;2.9;6.9;9.9;2.9;8.9;4.9;14;3.9;0.90
2;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;34;6.0;5.0;16;3.0;11;15;6.0;2.0;13;4.0;5.0
3;0;0.0;0.0;1.8;579644;1561684;21;3.9;19;6.9;4.9;4.9;12;0.90;11;1.9;2.9;1.9;14;1.9;6.9
4;0;0.0;0.0;1.8;579644;1561684;21;4.0;19;0.90;0.90;5.9;21;0.90;9.9;13;1.9;3.9;4.9;1.9;3.9
5;0;0.0;0.0;1.8;579644;1561684;21;3.7;19;8.0;4.0;5.0;20;1.00;11;5.0;3.0;1.00;4.0;1.00;4.0
6;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;6.9;1.9;3.9;12;0.90;9.9;1.9;2.9;6.9;12;1.9;7.9
7;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;1.9;1.9;5.9;16;12;9.9;0.90;2.9;2.9;8.9;0.0;0.90
8;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;1.9;1.9;6.9;3.9;3.9;9.9;0.90;3.9;2.9;16;11;3.9
9;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;0.90;3.9;4.9;4.9;1.9;11;0.90;0.90;2.9;12;15;5.9
10;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;2.0;1.00;7.0;5.0;1.00;10;2.0;1.00;6.0;12;5.0;17
11;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;1.00;2.0;6.0;5.0;1.00;11;12;4.0;3.0;3.0;20;3.0
12;0;0.0;0.0;1.8;579644;1561684;21;3.9;19;8.9;0.90;6.9;4.9;1.9;9.9;4.9;20;0.90;0.90;2.9;0.90
13;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;13;2.9;4.9;4.9;0.0;9.9;1.9;20;3.9;1.9;1.9;1.9
14;0;0.0;0.0;1.8;579644;1561684;21;3.7;19;12;2.0;7.0;5.0;2.0;10;2.0;20;3.0;3.0;2.0;3.0
15;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;13;4.9;4.9;3.9;16;11;0.90;3.9;0.90;2.9;0.90;1.9
16;0;0.0;0.0;1.8;579644;1561684;21;3.8;19;10;1.00;8.0;7.0;20;10;2.0;1.00;2.0;3.0;4.0;1.00
17;0;0.0;0.0;1.8;579644;1561684;21;4.1;19;0.90;1.9;4.9;4.9;22;9.9;0.0;5.9;0.90;3.9;17;2.9
