time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579504;1365044;20;3.2;19;5.9;0.90;4.9;4.9;0.90;7.9;1.9;1.9;16;1.9;0.0;3.9
1;0;0.0;0.0;1.8;579504;1365044;20;3.8;19;5.0;7.0;1.00;16;13;11;4.0;3.0;8.0;4.0;3.0;10
2;0;0.0;0.0;1.8;579504;1365044;20;3.8;19;5.9;0.90;1.9;9.9;15;12;2.9;0.0;3.9;0.90;6.9;4.9
3;0;0.0;0.0;1.8;579504;1365044;20;3.9;19;33;5.9;1.9;6.9;3.9;24;6.9;1.9;1.9;1.9;2.9;30
4;0;0.0;0.0;1.8;579504;1365044;20;3.9;19;5.0;6.0;1.00;12;1.00;13;2.0;3.0;1.00;2.0;2.0;19
5;0;0.0;0.0;1.8;579504;1365044;20;3.8;19;5.0;11;2.0;9.0;3.0;18;4.0;6.0;1.00;5.0;2.0;3.0
6;0;0.0;0.0;1.8;579504;1365044;20;3.7;19;5.9;0.90;3.9;1.9;1.9;14;2.9;3.9;2.9;7.9;0.90;22
7;0;0.0;0.0;1.8;579504;1365044;20;4.0;19;5.9;1.9;9.9;0.0;4.9;17;0.0;1.9;5.9;0.90;1.9;21
8;0;0.0;0.0;1.8;579504;1365044;20;4.0;19;6.0;2.0;3.0;1.00;1.00;17;1.00;11;3.0;3.0;3.0;19
9;0;0.0;0.0;1.8;579504;1365044;20;3.9;19;6.0;13;7.0;1.00;6.0;14;1.00;1.00;11;1.00;1.00;8.0
10;0;0.0;0.0;1.8;579504;1496116;20;3.7;19;4.9;3.9;3.9;1.9;2.9;13;6.9;3.9;17;0.90;3.9;1.9
11;0;0.0;0.0;1.8;579504;1496116;20;3.9;19;7.0;2.0;2.0;1.00;12;14;5.0;2.0;20;1.00;4.0;2.0
12;0;0.0;0.0;1.8;579504;1496116;20;3.6;19;4.9;4.9;5.9;1.9;7.9;13;11;1.9;4.9;0.90;1.9;5.9
13;0;0.0;0.0;1.8;579504;1496116;20;3.7;19;6.0;1.00;0.0;3.0;4.0;14;12;3.0;17;2.0;1.00;4.0
14;0;0.0;0.0;1.8;579504;1496116;20;3.8;19;20;9.9;1.9;0.90;2.9;15;4.9;3.9;0.90;1.9;2.9;1.9
15;0;0.0;0.0;1.8;579504;1496116;20;3.6;19;21;3.0;4.0;1.00;14;13;7.0;2.0;1.00;2.0;1.00;1.00
16;0;0.0;0.0;1.8;579504;1496116;20;3.8;19;19;5.0;1.00;1.00;1.00;14;8.0;11;1.00;1.00;1.00;1.00
17;0;0.0;0.0;1.8;579504;1496116;20;3.6;19;8.9;1.9;1.9;1.9;4.9;13;16;1.9;12;0.90;0.90;1.9
