time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579788;1561720;25;3.1;19;10;1.00;0.0;2.0;3.0;10;16;1.00;1.00;1.00;3.0;7.0
1;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;12;4.9;0.90;3.9;2.9;13;18;2.9;0.90;0.90;1.9;4.9
2;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;7.9;20;1.9;2.9;4.9;14;3.9;1.9;1.9;0.90;0.90;5.9
3;0;0.0;0.0;1.8;579788;1561720;25;3.7;19;1.00;19;3.0;2.0;9.0;14;2.0;5.0;3.0;4.0;2.0;7.0
4;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;1.9;21;1.9;0.0;8.9;13;0.90;1.9;1.9;0.90;5.9;6.9
5;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;4.0;17;2.0;5.0;2.0;14;3.0;3.0;0.0;9.0;2.0;6.0
6;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;0.90;20;2.9;0.90;0.90;13;1.9;0.90;0.90;11;3.9;5.9
7;0;0.0;0.0;1.8;579788;1561720;25;3.7;19;0.90;20;2.9;9.9;1.9;13;0.90;0.0;0.90;5.9;0.90;6.9
8;0;0.0;0.0;1.8;579788;1561720;25;3.7;19;5.0;18;4.0;7.0;1.00;14;1.00;2.0;2.0;7.0;4.0;6.0
9;0;0.0;0.0;1.8;579788;1561720;25;3.7;19;0.90;20;1.9;6.9;1.9;13;0.90;0.0;1.9;9.9;0.90;5.9
10;0;0.0;0.0;1.8;579788;1561720;25;3.7;19;0.90;20;0.90;5.9;0.90;13;1.9;0.90;1.9;6.9;5.9;7.9
11;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;1.00;13;1.00;5.0;1.00;15;1.00;9.0;5.0;1.00;4.0;11
12;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;1.00;2.0;1.00;1.00;5.0;21;0.0;11;1.00;1.00;2.0;19
13;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;4.9;1.9;2.9;3.9;0.90;21;4.9;2.9;0.0;11;2.9;11
14;0;0.0;0.0;1.8;579788;1561720;25;3.9;19;13;1.00;3.0;4.0;3.0;10;0.0;1.00;2.0;20;1.00;10
15;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;5.9;0.90;1.9;4.9;2.9;9.9;1.9;1.9;7.9;21;0.90;8.9
16;0;0.0;0.0;1.8;579788;1561720;25;3.9;19;2.9;1.9;0.90;1.9;3.9;9.9;6.9;0.90;5.9;20;3.9;9.9
17;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;2.0;4.0;2.0;1.00;3.0;10;13;1.00;1.00;20;1.00;11
18;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;7.0;2.0;1.00;1.00;4.0;10;9.0;0.0;1.00;19;2.0;10
19;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;7.0;4.0;1.00;1.00;4.0;10;5.0;4.0;1.00;19;3.0;9.0
20;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;15;2.0;2.0;1.00;1.00;10;2.0;1.00;1.00;20;3.0;12
21;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;2.9;13;9.9;1.9;1.9;9.9;0.90;1.9;2.9;7.9;2.9;12
22;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;1.9;18;9.9;0.90;4.9;9.9;3.9;0.90;2.9;1.9;2.9;8.9
23;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;0.90;4.9;13;1.9;3.9;9.9;2.9;13;0.90;1.9;0.90;13
24;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;2.0;16;12;3.0;2.0;10;4.0;5.0;1.00;0.0;1.00;9.0
25;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;1.00;14;13;2.0;2.0;12;2.0;7.0;1.00;2.0;4.0;10
26;0;0.0;0.0;1.8;579788;1561720;25;3.8;19;5.9;3.9;9.9;0.90;13;11;2.9;0.90;2.9;0.90;1.9;11
27;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;2.0;1.00;6.0;1.00;2.0;19;3.0;2.0;7.0;2.0;1.00;21
28;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;1.9;1.9;0.0;0.0;2.9;17;4.9;9.9;1.9;0.90;0.90;20
29;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;4.9;2.9;1.9;0.90;0.90;17;0.0;11;4.9;0.90;0.90;17
30;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;1.9;7.9;0.90;1.9;0.90;16;2.9;4.9;19;0.90;2.9;1.9
31;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;1.00;7.0;13;2.0;2.0;16;1.00;6.0;9.0;3.0;4.0;0.0
32;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;6.0;1.00;14;9.0;1.00;16;4.0;1.00;6.0;2.0;1.00;2.0
33;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;0.90;0.90;6.9;3.9;0.90;16;2.9;1.9;22;3.9;0.90;0.90
34;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;6.0;7.0;17;4.0;4.0;16;1.00;4.0;1.00;1.00;1.00;2.0
35;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;5.9;0.90;0.90;0.90;0.90;16;0.90;11;0.90;20;0.90;0.90
36;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;0.90;3.9;2.9;1.9;1.9;17;2.9;3.9;7.9;14;1.9;3.9
37;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;8.9;6.9;1.9;0.90;3.9;16;2.9;13;0.90;2.9;1.9;0.90
38;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;12;2.0;2.0;0.0;3.0;18;1.00;18;1.00;2.0;2.0;4.0
39;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;4.9;19;0.90;1.9;0.90;16;9.9;3.9;0.0;0.90;0.90;1.9
40;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;2.0;11;2.0;3.0;1.00;17;11;9.0;1.00;2.0;3.0;3.0
41;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;3.9;8.9;1.9;2.9;1.9;16;7.9;17;0.0;0.0;0.90;0.90
42;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;2.9;8.9;1.9;7.9;18;19;0.90;1.9;0.90;1.9;0.90;0.90
43;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;0.0;0.90;11;3.9;21;16;0.90;0.90;4.9;1.9;4.9;0.0
44;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;1.00;1.00;0.0;10;6.0;19;2.0;2.0;14;2.0;3.0;1.00
45;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;0.90;0.90;3.9;8.9;0.90;16;2.9;3.9;20;1.9;0.90;0.90
46;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;7.0;4.0;3.0;1.00;1.00;17;3.0;2.0;14;8.0;2.0;4.0
47;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;19;7.0;7.0;2.0;2.0;16;2.0;2.0;3.0;2.0;0.0;1.00
48;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;18;1.00;2.0;1.00;11;16;6.0;2.0;4.0;1.00;1.00;1.00
49;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;8.9;1.9;0.90;1.9;9.9;16;1.9;9.9;5.9;1.9;3.9;0.0
50;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;1.00;0.0;3.0;2.0;6.0;16;2.0;20;1.00;1.00;7.0;2.0
51;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;3.0;1.00;3.0;0.0;2.0;17;4.0;19;1.00;2.0;11;1.00
52;0;0.0;0.0;1.8;579788;1561720;25;3.6;19;1.9;0.90;0.90;3.9;4.9;16;0.90;20;2.9;1.9;6.9;1.9
53;0;0.0;0.0;1.8;579788;1561720;25;3.5;19;1.9;15;2.9;1.9;11;16;0.90;5.9;0.0;0.90;1.9;0.90
54;0;0.0;0.0;1.8;579788;1561720;25;3.4;19;1.00;20;2.0;2.0;12;16;1.00;1.00;1.00;5.0;2.0;1.00
