type,timestamp,carrier_id,pci,nof_rach,ue_list,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_list,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1731418671.744,0,1,19,"[{'ue_container': {'ue_rnti': 88, 'dl_cqi': 15.0, 'dl_mcs': 20.0, 'ul_pusch_rssi': -98.55515, 'ul_pucch_rssi': -90.11606, 'ul_pucch_ni': 47.797646, 'ul_pusch_tpc': 0, 'ul_pucch_tpc': 0, 'dl_cqi_offset': 1.541016, 'ul_snr_offset': 2.7199812, 'dl_bitrate': 776.0, 'dl_bler': 0.0, 'ul_snr': 8.158293, 'ul_mcs': 7.0, 'ul_bitrate': 472.0, 'ul_bler': 0.0, 'ul_phr': 40.0, 'ul_bsr': 0, 'bearer_list': [{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126084, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]}}]",88,15.0,20.0,-98.55515,-90.11606,47.797646,0,0,1.541016,2.7199812,776.0,0.0,8.158293,7.0,472.0,0.0,40.0,0,"[{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126084, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]",3,9,126084,15641,0.028,0.01,0,0
metrics,1731418672.744,0,1,19,"[{'ue_container': {'ue_rnti': 88, 'dl_cqi': 15.0, 'dl_mcs': 20.0, 'ul_pusch_rssi': -98.41065, 'ul_pucch_rssi': -90.01586, 'ul_pucch_ni': 48.245422, 'ul_pusch_tpc': 0, 'ul_pucch_tpc': 0, 'dl_cqi_offset': 1.542016, 'ul_snr_offset': 2.7209811, 'dl_bitrate': 776.0, 'dl_bler': 0.0, 'ul_snr': 7.520804, 'ul_mcs': 9.0, 'ul_bitrate': 616.0, 'ul_bler': 0.0, 'ul_phr': 40.0, 'ul_bsr': 0, 'bearer_list': [{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126168, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]}}]",88,15.0,20.0,-98.41065,-90.01586,48.245422,0,0,1.542016,2.7209811,776.0,0.0,7.520804,9.0,616.0,0.0,40.0,0,"[{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126168, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]",3,9,126168,15641,0.028,0.01,0,0
metrics,1731418673.744,0,1,19,"[{'ue_container': {'ue_rnti': 88, 'dl_cqi': 15.0, 'dl_mcs': 20.0, 'ul_pusch_rssi': -99.24771, 'ul_pucch_rssi': -90.799934, 'ul_pucch_ni': 48.120502, 'ul_pusch_tpc': 0, 'ul_pucch_tpc': 0, 'dl_cqi_offset': 1.5430161, 'ul_snr_offset': 2.721981, 'dl_bitrate': 776.0, 'dl_bler': 0.0, 'ul_snr': 5.4235597, 'ul_mcs': 9.0, 'ul_bitrate': 616.0, 'ul_bler': 0.0, 'ul_phr': 40.0, 'ul_bsr': 0, 'bearer_list': [{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126252, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]}}]",88,15.0,20.0,-99.24771,-90.799934,48.120502,0,0,1.5430161,2.721981,776.0,0.0,5.4235597,9.0,616.0,0.0,40.0,0,"[{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126252, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]",3,9,126252,15641,0.028,0.01,0,0
metrics,1731418674.744,0,1,19,"[{'ue_container': {'ue_rnti': 88, 'dl_cqi': 15.0, 'dl_mcs': 20.0, 'ul_pusch_rssi': -98.312416, 'ul_pucch_rssi': -90.23089, 'ul_pucch_ni': 48.268097, 'ul_pusch_tpc': 0, 'ul_pucch_tpc': 0, 'dl_cqi_offset': 1.5440161, 'ul_snr_offset': 2.722981, 'dl_bitrate': 776.0, 'dl_bler': 0.0, 'ul_snr': 6.7455354, 'ul_mcs': 7.0, 'ul_bitrate': 472.0, 'ul_bler': 0.0, 'ul_phr': 40.0, 'ul_bsr': 0, 'bearer_list': [{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126336, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]}}]",88,15.0,20.0,-98.312416,-90.23089,48.268097,0,0,1.5440161,2.722981,776.0,0.0,6.7455354,7.0,472.0,0.0,40.0,0,"[{'bearer_container': {'bearer_id': 3, 'qci': 9, 'dl_total_bytes': 126336, 'ul_total_bytes': 15641, 'dl_latency': 0.028, 'ul_latency': 0.01, 'dl_buffered_bytes': 0, 'ul_buffered_bytes': 0}}]",3,9,126336,15641,0.028,0.01,0,0
