time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
0;0;0.0;0.0;1.8;579740;1561688;18;2.9;19;11;3.9;9.9;2.9;0.90;1.9;15;3.9;1.9;0.90;0.90;2.9
1;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.9;12;13;0.90;0.90;3.9;20;3.9;0.90;0.90;0.90;0.90
2;0;0.0;0.0;1.8;579740;1561688;18;3.8;19;2.0;8.0;13;9.0;1.00;1.00;17;9.0;2.0;1.00;3.0;3.0
3;0;0.0;0.0;1.8;579740;1561688;18;3.7;19;0.90;16;13;5.9;2.9;3.9;1.9;4.9;1.9;0.90;1.9;8.9
4;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;0.0;4.0;13;8.0;2.0;6.0;13;5.0;1.00;2.0;8.0;1.00
5;0;0.0;0.0;1.8;579740;1561688;18;3.8;19;1.00;5.0;13;2.0;1.00;7.0;17;5.0;1.00;1.00;3.0;9.0
6;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.00;8.0;12;3.0;2.0;12;7.0;18;2.0;3.0;1.00;2.0
7;0;0.0;0.0;1.8;579740;1561688;18;3.7;19;0.90;5.9;13;6.9;0.90;1.9;2.9;20;1.9;4.9;0.90;0.90
8;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;2.0;20;14;2.0;7.0;2.0;1.00;5.0;0.0;2.0;7.0;1.00
9;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.9;19;17;2.9;0.90;2.9;3.9;0.90;0.90;1.9;11;1.9
10;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;2.0;21;16;1.00;1.00;0.0;2.0;3.0;1.00;1.00;11;1.00
11;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;1.9;19;16;1.9;8.9;0.90;0.90;4.9;0.90;4.9;8.9;1.9
12;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.00;20;16;10;2.0;4.0;1.00;1.00;1.00;4.0;4.0;1.00
13;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;0.90;13;16;0.90;1.9;7.9;0.90;0.90;0.90;8.9;2.9;0.0
14;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;8.9;3.9;16;0.90;2.9;13;1.9;0.90;0.90;5.9;5.9;0.90
15;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;5.0;1.00;16;2.0;1.00;8.0;3.0;1.00;2.0;4.0;11;11
16;0;0.0;0.0;1.8;579740;1561688;18;3.3;19;6.0;1.00;16;1.00;3.0;2.0;5.0;1.00;1.00;3.0;8.0;18
17;0;0.0;0.0;1.8;579740;1561688;18;3.7;19;1.9;3.9;16;1.9;3.9;6.9;0.90;1.9;0.0;0.90;4.9;21
18;0;0.0;0.0;1.8;579740;1561688;18;3.8;19;1.00;4.0;15;1.00;2.0;13;1.00;1.00;1.00;1.00;1.00;21
19;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;1.00;3.0;17;13;1.00;4.0;1.00;13;1.00;1.00;2.0;8.0
20;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;1.00;4.0;15;1.00;3.0;1.00;2.0;12;1.00;11;8.0;3.0
21;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;3.0;3.0;16;10;4.0;2.0;6.0;1.00;1.00;4.0;16;2.0
22;0;0.0;0.0;1.8;579740;1561688;18;3.3;19;0.90;0.90;16;8.9;1.9;2.9;18;2.9;0.90;7.9;0.90;0.90
23;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;0.0;4.0;16;3.0;3.0;2.0;18;2.0;3.0;5.0;7.0;1.00
24;0;0.0;0.0;1.8;579740;1561688;18;3.6;19;2.0;1.00;16;1.00;2.0;10;20;2.0;1.00;0.0;1.00;3.0
25;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.9;2.9;16;4.9;0.90;2.9;20;1.9;0.90;9.9;0.90;0.90
26;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;15;3.0;16;4.0;4.0;1.00;8.0;2.0;1.00;2.0;8.0;5.0
27;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;17;1.00;16;3.0;0.0;7.0;3.0;1.00;2.0;2.0;1.00;5.0
28;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;2.0;1.00;16;3.0;4.0;3.0;20;1.00;1.00;5.0;7.0;1.00
29;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;0.90;0.90;16;1.9;4.9;0.90;20;3.9;0.90;0.90;9.9;1.9
30;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;0.90;1.9;15;1.9;1.9;5.9;19;0.90;0.90;0.0;2.9;5.9
31;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.00;1.00;16;5.0;3.0;5.0;16;1.00;0.0;6.0;2.0;11
32;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;0.90;6.9;16;7.9;2.9;2.9;1.9;2.9;0.90;5.9;2.9;9.9
33;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;2.0;20;15;1.00;2.0;12;2.0;1.00;1.00;1.00;1.00;2.0
34;0;0.0;0.0;1.8;579740;1561688;18;3.5;19;1.9;7.9;16;0.90;0.90;11;1.9;13;0.90;5.9;1.9;1.9
35;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;2.0;6.0;16;4.0;5.0;3.0;1.00;16;1.00;7.0;3.0;1.00
36;0;0.0;0.0;1.8;579740;1561688;18;3.4;19;3.9;0.90;16;8.9;0.0;0.90;4.9;2.9;0.90;1.9;19;0.90
