type,timestamp,carrier_id,pci,nof_rach,ue_rnti,dl_cqi,dl_mcs,ul_pusch_rssi,ul_pucch_rssi,ul_pucch_ni,ul_pusch_tpc,ul_pucch_tpc,dl_cqi_offset,ul_snr_offset,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,bearer_id,qci,dl_total_bytes,ul_total_bytes,dl_latency,ul_latency,dl_buffered_bytes,ul_buffered_bytes
metrics,1736948398605,0,1,1,70,13.999999,9.642858,-93.272095,-92.09841,46.673286,0,0,0.016,0.016,3933.3333,0.0,13.408161,9.272727,11580.952,0.0,40.0,0,3,9,0,0,0.0,0.0,0,0
metrics,1736948399605,0,1,1,70,13.48,20.0,-94.737206,-94.077644,45.52189,0,0,0.017,0.017,776.0,0.0,12.015752,12.0,776.0,0.0,40.0,0,3,9,84,0,0.02,0.0,0,0
metrics,1736948400605,0,1,1,70,13.719999,20.0,-95.87854,-94.85325,45.7193,0,0,0.018000001,0.018000001,776.0,0.0,11.561666,12.0,776.0,0.0,40.0,0,3,9,168,0,0.028,0.0,0,0
metrics,1736948401605,0,1,1,70,12.960001,20.0,-95.7775,-94.14301,45.22428,0,0,0.019000001,0.019000001,776.0,0.0,10.478628,9.0,616.0,0.0,40.0,0,3,9,252,0,0.028,0.0,0,0
metrics,1736948402605,0,1,1,70,12.039999,8.363636,-94.41291,-92.77398,46.29201,0,0,0.023000002,0.026000002,944.0,0.0,12.897317,8.823529,2696.0,0.0,40.0,0,3,9,336,233,0.028,0.006,0,0
metrics,1736948403605,0,1,1,70,13.159999,10.857142,-96.35861,-94.98309,46.1411,0,0,0.026000002,0.028000003,888.0,0.0,11.209705,12.0,1552.0,0.0,40.0,0,3,9,420,382,0.027,0.003,0,0
metrics,1736948404605,0,1,1,70,8.440001,12.0,-86.90721,-83.783485,47.436466,0,0,0.028000003,0.031000003,832.0,0.0,18.451534,11.857142,1224.0,0.0,40.0,0,3,9,504,468,0.027,0.004,0,0
metrics,1736948405605,0,1,1,70,3.9599993,4.571429,-83.35744,-77.349236,49.85053,0,0,0.031000003,0.032,832.0,0.0,22.54171,19.0,1544.0,0.0,40.0,0,3,9,588,554,0.026,0.003,0,0
metrics,1736948406605,0,1,1,70,11.8,7.6,-90.15219,-87.193115,46.217445,0,0,0.033,0.033,832.0,0.0,16.1876,23.0,1992.0,0.0,40.0,0,3,9,672,640,0.026,0.003,0,0
metrics,1736948407605,0,1,1,70,12.76,8.0,-92.980225,-91.35459,46.00261,0,0,0.036999993,0.035999995,944.0,0.0,14.001148,14.333333,3064.0,0.0,40.0,0,3,9,756,873,0.025,0.002,0,0
metrics,1736948408605,0,1,1,70,13.079999,9.333333,-92.785255,-90.84837,45.794075,0,0,0.039999988,0.03799999,888.0,0.0,14.032265,12.0,1552.0,0.0,40.0,0,3,9,840,1022,0.024,0.002,0,0
metrics,1736948409605,0,1,1,70,12.559999,7.3333335,-92.75138,-91.10707,45.792366,0,0,0.042999983,0.039999988,856.0,0.0,14.918331,14.0,2000.0,0.0,40.0,0,3,9,924,1182,0.025,0.001,0,0
metrics,1736948410605,0,1,1,70,12.079998,10.857142,-92.94324,-90.73275,45.83857,0,0,0.045999978,0.041999985,888.0,0.0,13.703911,13.0,1776.0,0.0,40.0,0,3,9,1008,1335,0.026,0.001,0,0
metrics,1736948411605,0,1,1,70,12.240001,13.6,-93.65997,-91.80569,45.30865,0,0,0.047999974,0.042999983,832.0,0.0,13.014767,12.0,776.0,0.0,40.0,0,3,9,1092,1421,0.027,0.001,0,0
metrics,1736948412605,0,1,1,70,11.32,7.6923075,-92.31394,-90.187935,46.116405,0,0,0.052999966,0.048999973,1000.0,0.0,15.022174,13.6875,4816.0,0.0,40.0,0,3,9,1176,1804,0.027,0.001,0,0
metrics,1736948413605,0,1,1,70,11.960001,9.333333,-90.75619,-89.51316,46.234142,0,0,0.05599996,0.05099997,888.0,0.0,16.364674,15.5,2288.0,0.0,40.0,0,3,9,1260,1953,0.028,0.001,0,0
metrics,1736948414605,0,1,1,70,11.919999,6.25,-93.19153,-91.27711,46.015617,0,0,0.058999956,0.05599996,888.0,0.0,13.560833,11.75,2472.0,0.0,40.0,0,3,9,1344,2187,0.027,0.001,0,0
metrics,1736948415605,0,1,1,70,11.96,6.909091,-92.18124,-90.317535,46.19576,0,0,0.06299995,0.060999952,944.0,0.0,14.053684,13.230769,3192.0,0.0,40.0,0,3,9,1428,2474,0.027,0.001,0,0
metrics,1736948416605,0,1,1,70,14.04,12.0,-94.871826,-92.32107,45.85941,0,0,0.06499995,0.06199995,832.0,0.0,12.187943,14.0,1000.0,0.0,40.0,0,3,9,1512,2560,0.027,0.001,0,0
metrics,1736948417605,0,1,1,70,14.2,6.4615383,-95.73819,-93.744316,46.136883,0,0,0.070999965,0.07199997,1056.0,0.0,10.643235,8.24,3912.0,0.0,40.0,0,3,9,1596,2943,0.027,0.001,0,0
metrics,1736948418605,0,1,1,70,14.76,10.857142,-94.09774,-92.01902,45.424175,0,0,0.07399997,0.07399997,888.0,0.0,12.127758,10.5,1392.0,0.0,40.0,0,3,9,1680,3092,0.027,0.001,0,0
metrics,1736948419605,0,1,1,70,14.56,10.857142,-93.42045,-91.690994,45.88582,0,0,0.07699998,0.08499999,888.0,0.0,13.132747,8.888889,5040.0,0.0,40.0,0,3,9,1764,3326,0.026,0.002,0,0
